manik,
8900000002641,1
8900000002788,1
8900000003457,1
8900000004225,1
8900000004249,1
8900000004331,1
8900000005635,1
8900000005819,1
8900000005826,1
8900000005987,1
8900000006250,1
8900000006281,1
8900000006311,1
8900000006397,1
8900000008414,1
8900000008964,1
8900000009053,1
8900000009060,1
8900000010318,1
8900000016303,1
8900000016815,1
8900000016846,1
8900000016853,1
8900000016860,1
8900000016884,1
8900000016921,1
8900000016938,1
8900000017003,1
8900000017010,1
8900000017034,1
8900000017126,1
8900000017157,1
8900000018482,1
8900000020317,1
8900000020355,1
8900000020584,1
8900000021314,1
8900000021536,1
8900000021543,1
8900000025206,1
8900000025237,1
8900000025251,1
8900000026265,1
8900000026937,1
8900000030668,1
8900000033768,1
8900000036486,1
8900000036493,1
8900000037032,1
8900000037780,1
8900000038619,1
8900000041541,1
8900000041664,1
8900000043606,1
8900000044177,1
8900000044696,1
8900000044917,1
8900000045471,1
8900000046171,1
8900000046270,1
8900000046379,1
8900000049905,1
8900000050871,1
8900000050895,1
8900000051267,1
8900000052325,1
8900000052639,1
8900000055616,1
8900000055951,1
8900000056019,1
8900000056026,1
8900000056040,1
8900000056057,1
8900000056316,1
8900000060153,1
8900000060207,1
8900000060306,1
8900000060351,1
8900000060481,1
8900000062577,1
8900000063130,1
8900000063147,1
8900000063154,1
8900000063185,1
8900000063635,1
8900000065400,1
8900000065431,1
8900000065455,1
8900000065554,1
8900000065608,1
8900000065974,1
8900000066070,1
8900000066094,1
8900000067220,1
8900000067237,1
8900000067251,1
8900000068470,1
8900000068487,1
8900000068548,1
8900000068555,1
8900000068579,1
8900000068678,1
8900000070237,1
8900000070244,1
8900000070305,1
8900000070534,1
8900000070541,1
8900000070565,1
8900000070848,1
8900000073863,1
8900000076246,1
8900000076277,1
8900000077441,1
8900000078882,1
8900000078998,1
8900000080380,1
8900000080427,1
8900000082766,1
8900000082964,1
8900000085453,1
8900000085644,1
8900000085811,1
8900000085927,1
8900000086610,1
8900000086818,1
8900000087341,1
8900000087358,1
8900000087396,1
8900000087631,1
8900000089444,1
8900000089451,1
8900000089772,1
8900000089789,1
8900000089802,1
8900000089819,1
8900000089826,1
8900000090600,1
8900000090747,1
8900000090921,1
8900000091362,1
8900000091461,1
8900000091881,1
8900000093205,1
8900000093519,1
8900000093762,1
8900000093809,1
8900000093823,1
8900000093885,1
8900000094202,1
8900000094240,1
8900000094264,1
8900000094301,1
8900000094400,1
8900000094462,1
8900000094530,1
8900000094547,1
8900000094585,1
8900000094745,1
8900000094882,1
8900000094905,1
8900000098255,1
8900000098606,1
8900000098910,1
8900000099818,1
8900000099825,1
8900000099832,1
8900000099849,1
8900000100132,1
8900000100187,1
8900000101436,1
8900000101443,1
8900000101450,1
8900000102150,1
8900000102372,1
8900000102518,1
8900000102679,1
8900000103744,1
8900000103751,1
8900000103768,1
8900000103782,1
8900000105229,1
8900000106486,1
8900000106769,1
8900000108565,1
8900000108619,1
8900000114665,1
8900000115105,1
8900000115853,1
8900000116393,1
8900000116416,1
8900000116423,1
8900000116461,1
8900000117192,1
8900000117758,1
8900000118625,1
8900000118762,1
8900000118861,1
8900000118878,1
8900000118885,1
8900000119172,1
8900000119219,1
8900000124534,1
8900000125654,1
8900000126477,1
8900000126866,1
8900000126958,1
8900000128457,1
8900000129270,1
8900000129454,1
8900000129935,1
8900000129942,1
8900000129980,1
8900000130016,1
8900000130146,1
8900000130481,1
8900000130573,1
8900000130597,1
8900000130610,1
8900000130627,1
8900000131754,1
8900000132577,1
8900000136643,1
8900000141920,1
8900000141937,1
8900000141944,1
8900000141951,1
8900000141975,1
8900000141982,1
8900000141999,1
8900000142002,1
8900000142644,1
8900000142897,1
8900000143085,1
8900000144228,1
8900000144235,1
8900000144679,1
8900000145478,1
8900000146321,1
8900000147861,1
8900000150632,1
8900000151813,1
8900000151943,1
8900000153268,1
8900000153381,1
8900000153428,1
8900000153510,1
8900000154593,1
8900000154838,1
8900000155460,1
8900000157440,1
8900000157464,1
8900000157495,1
8900000157532,1
8900000157563,1
8900000157570,1
8900000157778,1
8900000157990,1
8900000158126,1
8900000158546,1
8900000158560,1
8900000158645,1
8900000159062,1
8900000159185,1
8900000159420,1
8900000159499,1
8900000159598,1
8900000160525,1
8900000160693,1
8900000160921,1
8900000161775,1
8900000161843,1
8900000161980,1
8900000162192,1
8900000162208,1
8900000162215,1
8900000162871,1
8900000162888,1
8900000163342,1
8900000163359,1
8900000163427,1
8900000163649,1
8900000163656,1
8900000163663,1
8900000163670,1
8900000164721,1
8900000164738,1
8900000164745,1
8900000165025,1
8900000165063,1
8900000165254,1
8900000165278,1
8900000165285,1
8900000165292,1
8900000165308,1
8900000165315,1
8900000166107,1
8900000166428,1
8900000166480,1
8900000166497,1
8900000166503,1
8900000166534,1
8900000166848,1
8900000166855,1
8900000167494,1
8900000167500,1
8900000167531,1
8900000167555,1
8900000167586,1
8900000167593,1
8900000167616,1
8900000167623,1
8900000167630,1
8900000167975,1
8900000167999,1
8900000168002,1
8900000168026,1
8900000168637,1
8900000169009,1
8900000169085,1
8900000169092,1
8900000169184,1
8900000170524,1
8900000170531,1
8900000170593,1
8900000170616,1
8900000170630,1
8900000170661,1
8900000170739,1
8900000170746,1
8900000171460,1
8900000172542,1
8900000172559,1
8900000172597,1
8900000172603,1
8900000172689,1
8900000172771,1
8900000172962,1
8900000173020,1
8900000173082,1
8900000174065,1
8900000174249,1
8900000175291,1
8900000175413,1
8900000177202,1
8900000177554,1
8900000177776,1
8900000178759,1
8900000179091,1
8900000179114,1
8900000179121,1
8900000179305,1
8900000179374,1
8900000180127,1
8900000181117,1
8900000181773,1
8900000183289,1
8900000183760,1
8900000184750,1
8900000185122,1
8900000187386,1
8900000187997,1
8900000188468,1
8900000189373,1
8900000189762,1
8900000191666,1
8900000191901,1
8900000195428,1
8900000195466,1
8900000195473,1
8900000195558,1
8900000199549,1
8900000200030,1
8900000200399,1
8900000200405,1
8900000202621,1
8900000202645,1
8900000203178,1
8900000203185,1
8900000203192,1
8900000204762,1
8900000204922,1
8900000205226,1
8900000205486,1
8900000205950,1
8900000207558,1
8900000208333,1
8900000208357,1
8900000208364,1
8900000208401,1
8900000208432,1
8900000208449,1
8900000208500,1
8900000208517,1
8900000209606,1
8900000209613,1
8900000209705,1
8900000209712,1
8900000209736,1
8900000209774,1
8900000210626,1
8900000211593,1
8900000211654,1
8900000212460,1
8900000212484,1
8900000212491,1
8900000212842,1
8900000212897,1
8900000213207,1
8900000213290,1
8900000213320,1
8900000213337,1
8900000213481,1
8900000213498,1
8900000213870,1
8900000213887,1
8900000214051,1
8900000214068,1
8900000215065,1
8900000215072,1
8900000215089,1
8900000215584,1
8900000215706,1
8900000216017,1
8900000216093,1
8900000216291,1
8900000216307,1
8900000216376,1
8900000216536,1
8900000216697,1
8900000216703,1
8900000216857,1
8900000216864,1
8900000216925,1
8900000216932,1
8900000217168,1
8900000217199,1
8900000217304,1
8900000217311,1
8900000217328,1
8900000217359,1
8900000217366,1
8900000217403,1
8900000217748,1
8900000217755,1
8900000217779,1
8900000217793,1
8900000217809,1
8900000217823,1
8900000217830,1
8900000217847,1
8900000218394,1
8900000218417,1
8900000218448,1
8900000218493,1
8900000218561,1
8900000218622,1
8900000218639,1
8900000218677,1
8900000218745,1
8900000218752,1
8900000218769,1
8900000218783,1
8900000218790,1
8900000218806,1
8900000219155,1
8900000219162,1
8900000219278,1
8900000219384,1
8900000219407,1
8900000219414,1
8900000219421,1
8900000219599,1
8900000219605,1
8900000219612,1
8900000219629,1
8900000219636,1
8900000219674,1
8900000219681,1
8900000219698,1
8900000220083,1
8900000220489,1
8900000220496,1
8900000220670,1
8900000220694,1
8900000220700,1
8900000220830,1
8900000220946,1
8900000221172,1
8900000221189,1
8900000221332,1
8900000221721,1
8900000222049,1
8900000222056,1
8900000222063,1
8900000222087,1
8900000222100,1
8900000222360,1
8900000222377,1
8900000222407,1
8900000222414,1
8900000222438,1
8900000222445,1
8900000222452,1
8900000222476,1
8900000222483,1
8900000222490,1
8900000222599,1
8900000222605,1
8900000222650,1
8900000222667,1
8900000222698,1
8900000222759,1
8900000222797,1
8900000222803,1
8900000222810,1
8900000222827,1
8900000222834,1
8900000222841,1
8900000222858,1
8900000222865,1
8900000222872,1
8900000222889,1
8900000222919,1
8900000222926,1
8900000222933,1
8900000222940,1
8900000222957,1
8900000222964,1
8900000222971,1
8900000223039,1
8900000223046,1
8900000223053,1
8900000223060,1
8900000223329,1
8900000223343,1
8900000223350,1
8900000223367,1
8900000223398,1
8900000223404,1
8900000223473,1
8900000223480,1
8900000223589,1
8900000223596,1
8900000223602,1
8900000223633,1
8900000223718,1
8900000223725,1
8900000223787,1
8900000223794,1
8900000223800,1
8900000223893,1
8900000223909,1
8900000223930,1
8900000224005,1
8900000224111,1
8900000224128,1
8900000224159,1
8900000224166,1
8900000224227,1
8900000224265,1
8900000224302,1
8900000224319,1
8900000224326,1
8900000224333,1
8900000224340,1
8900000224357,1
8900000224364,1
8900000224487,1
8900000224593,1
8900000224722,1
8900000224746,1
8900000224883,1
8900000224913,1
8900000224920,1
8900000224937,1
8900000224951,1
8900000224975,1
8900000225231,1
8900000225248,1
8900000225255,1
8900000225262,1
8900000225279,1
8900000225286,1
8900000225293,1
8900000225309,1
8900000225316,1
8900000225323,1
8900000225330,1
8900000225361,1
8900000225378,1
8900000225446,1
8900000225590,1
8900000225606,1
8900000225613,1
8900000225637,1
8900000225644,1
8900000225651,1
8900000225668,1
8900000225729,1
8900000226009,1
8900000226160,1
8900000226238,1
8900000226245,1
8900000226337,1
8900000226429,1
8900000226504,1
8900000226511,1
8900000226528,1
8900000226597,1
8900000226610,1
8900000226757,1
8900000226962,1
8900000227020,1
8900000227082,1
8900000227099,1
8900000227105,1
8900000227174,1
8900000227181,1
8900000227334,1
8900000227495,1
8900000227501,1
8900000227600,1
8900000227617,1
8900000227624,1
8900000227648,1
8900000227655,1
8900000227662,1
8900000227679,1
8900000227686,1
8900000227693,1
8900000227709,1
8900000227716,1
8900000227761,1
8900000227778,1
8900000227785,1
8900000227853,1
8900000227860,1
8900000227983,1
8900000228102,1
8900000228133,1
8900000228218,1
8900000228270,1
8900000228287,1
8900000228294,1
8900000228300,1
8900000228324,1
8900000228331,1
8900000228348,1
8900000228416,1
8900000228430,1
8900000228447,1
8900000228454,1
8900000228492,1
8900000229062,1
8900000229086,1
8900000229222,1
8900000229239,1
8900000229314,1
8900000229376,1
8900000229383,1
8900000229390,1
8900000229406,1
8900000229802,1
8900000229840,1
8900000229857,1
8900000229888,1
8900000229918,1
8900000229925,1
8900000229963,1
8900000230006,1
8900000230013,1
8900000230020,1
8900000230044,1
8900000230211,1
8900000230303,1
8900000230396,1
8900000230402,1
8900000230419,1
8900000230433,1
8900000230914,1
8900000230921,1
8900000230952,1
8900000230969,1
8900000230976,1
8900000231034,1
8900000231041,1
8900000231058,1
8900000231089,1
8900000231096,1
8900000231249,1
