manik,
8900000002788,1
8900000004331,1
8900000006397,1
8900000025206,1
8900000025237,1
8900000025251,1
8900000065608,1
8900000086610,1
8900000105229,1
8900000105885,1
8900000106356,1
8900000116393,1
8900000116409,1
8900000116461,1
8900000117758,1
8900000118861,1
8900000118878,1
8900000118885,1
8900000119219,1
8900000125654,1
8900000153305,1
8900000153381,1
8900000156931,1
8900000157778,1
8900000161775,1
8900000162192,1
8900000162208,1
8900000162215,1
8900000162222,1
8900000162888,1
8900000163656,1
8900000163663,1
8900000164721,1
8900000164738,1
8900000165025,1
8900000166466,1
8900000166497,1
8900000166503,1
8900000167548,1
8900000167586,1
8900000167593,1
8900000167616,1
8900000167623,1
8900000167630,1
8900000168002,1
8900000168644,1
8900000169009,1
8900000170739,1
8900000172559,1
8900000172597,1
8900000174249,1
8900000179374,1
8900000183760,1
8900000184767,1
8900000189373,1
8900000208340,1
8900000208357,1
8900000208401,1
8900000210602,1
8900000212842,1
8900000216017,1
8900000216062,1
8900000216925,1
8900000216932,1
8900000217380,1
8900000217755,1
8900000217809,1
8900000217823,1
8900000219278,1
8900000219384,1
8900000219414,1
8900000220083,1
8900000220694,1
8900000221424,1
8900000221899,1
8900000222407,1
8900000222681,1
8900000222698,1
8900000223350,1
8900000224005,1
8900000224685,1
8900000225255,1
8900000225323,1
8900000225637,1
8900000225644,1
8900000225651,1
8900000225729,1
8900000228294,1
8900000228447,1
8900000229925,1
8900000231089,1
8900000231096,1
8900000232130,1
8900000232147,1
8900000232154,1
8900000232161,1
8900000232185,1
8900000232192,1
8900000232208,1
8900000232215,1
8900000232239,1
8900000232246,1
8900000232253,1
8900000232260,1
8900000232284,1
8900000232291,1
8900000232307,1
8900000232314,1
8900000233403,1
8900000233717,1
8900000233724,1
8900000234172,1
8900000234370,1
8900000236275,1
8900000236282,1
8900000237272,1
8900000237524,1
8900000237845,1
8900000237852,1
8900000237920,1
8900000237975,1
8900000237999,1
8900000238002,1
8900000238965,1
8900000239092,1
8900000239313,1
8900000239344,1
8900000239375,1
8900000239542,1
8900000239627,1
8900000239634,1
8900000239764,1
8900000240104,1
8900000240425,1
8900000240470,1
8900000240500,1
8900000241446,1
8900000241491,1
8900000242771,1
8900000243778,1
8900000244669,1
8900000244881,1
8900000244935,1
8900000244966,1
8900000244973,1
8900000244980,1
8900000244997,1
8900000245000,1
8900000245017,1
8900000245024,1
8900000245031,1
8900000245048,1
8900000245055,1
8900000245369,1
8900000245376,1
8900000245383,1
8900000245390,1
8900000245406,1
8900000245413,1
8900000245420,1
8900000245437,1
8900000245659,1
8900000246502,1
8900000247349,1
8900000247936,1
8900000248001,1
8900000253159,1
8900000253166,1
8900000253173,1
8900000253203,1
8900000253210,1
8900000253845,1
8900000253975,1
8900000254392,1
8900000254453,1
8900000254477,1
8900000254569,1
8900000254606,1
8900000255412,1
8900000255467,1
8900000255474,1
8900000255481,1
8900000255931,1
8900000184774,1
8900000256853,1
8900000098590,1
8900000255498,1
8900000255535,1
8900000255542,1
8900000255559,1
8900000165001,1
8900000165032,1
8900000256747,1
8900000256983,1
8900000256990,1
8900000257003,1
8900000257010,1
8900000257027,1
8900000256914,1
8900000163403,1
8900000163328,1
8900000248032,1
8900000257478,1
8900000257485,1
8900000257522,1
8900000257447,1
8900000257089,1
8900000189298,1
8900000259670,1
8900000259687,1
8900000260270,1
8900000260331,1
8900000260416,1
8900000170777,1
8900000216871,1
8900000216888,1
8900000216895,1
8900000216901,1
8900000261116,1
8900000234387,1
8900000218066,1
8900000218073,1
8900000218141,1
8900000261499,1
8900000261352,1
8900000236343,1
8900000262328,1
8900000262335,1
8900000262342,1
8900000262359,1
8900000262366,1
8900000262373,1
8900000262380,1
8900000262397,1
8900000119042,1
8900000119059,1
8900000119066,1
8900000119073,1
8900000119097,1
8900000119103,1
8900000119110,1
8900000119127,1
8900000254620,1
