manik,
8900000238842,1
8900000260720,1
8900000258413,1
8900000260713,1
8900000238828,1
8900000238804,1
8900000257997,1
8900000230051,1
8900000257973,1
8900000230044,1
8900000265572,1
8900000230037,1
8900000265565,1
8900000265558,1
8900000261192,1
8900000265541,1
8900000265534,1
8900000261178,1
8900000265527,1
8900000261161,1
8900000241583,1
8900000239276,1
8900000265510,1
8900000261154,1
8900000157877,1
8900000241576,1
8900000239269,1
8900000265503,1
8900000261147,1
8900000241569,1
8900000241552,1
8900000038619,1
8900000261123,1
8900000239207,1
8900000173020,1
8900000153428,1
8900000238798,1
8900000260676,1
8900000238781,1
8900000238774,1
8900000246380,1
8900000238767,1
8900000258338,1
8900000238750,1
8900000258321,1
8900000238743,1
8900000260621,1
8900000260614,1
8900000172559,1
8900000260607,1
8900000172542,1
8900000222377,1
8900000257898,1
8900000265497,1
8900000257874,1
8900000265480,1
8900000265473,1
8900000265466,1
8900000060481,1
8900000239191,1
8900000265435,1
8900000241491,1
8900000239184,1
8900000189335,1
8900000257812,1
8900000241477,1
8900000157778,1
8900000265404,1
8900000241460,1
8900000239146,1
8900000261024,1
8900000261017,1
8900000241439,1
8900000264995,1
8900000261000,1
8900000264988,1
8900000227143,1
8900000241415,1
8900000239108,1
8900000227136,1
8900000264971,1
8900000241408,1
8900000264964,1
8900000258291,1
8900000264957,1
8900000260591,1
8900000264940,1
8900000260584,1
8900000264933,1
8900000176878,1
8900000153305,1
8900000264926,1
8900000264919,1
8900000260553,1
8900000264902,1
8900000260546,1
8900000260539,1
8900000252923,1
8900000260522,1
8900000258215,1
8900000240944,1
8900000260515,1
8900000238606,1
8900000265398,1
8900000189298,1
8900000189281,1
8900000265367,1
8900000245789,1
8900000265350,1
8900000245772,1
8900000265343,1
8900000245765,1
8900000257720,1
8900000241392,1
8900000257713,1
8900000245741,1
8900000257706,1
8900000241378,1
8900000245727,1
8900000241361,1
8900000239054,1
8900000241354,1
8900000165261,1
8900000239030,1
8900000171910,1
8900000241330,1
8900000239023,1
8900000215089,1
8900000177202,1
8900000241323,1
8900000239016,1
8900000215072,1
8900000241316,1
8900000153251,1
8900000219421,1
8900000215065,1
8900000219414,1
8900000264865,1
8900000252893,1
8900000260478,1
8900000264827,1
8900000260454,1
8900000238569,1
8900000264803,1
8900000226597,1
8900000234196,1
8900000234189,1
8900000252817,1
8900000260423,1
8900000238538,1
8900000258109,1
8900000252800,1
8900000164745,1
8900000238521,1
8900000260409,1
8900000214587,1
8900000164738,1
8900000238514,1
8900000234158,1
8900000164721,1
8900000234141,1
8900000234134,1
8900000257690,1
8900000118878,1
8900000257683,1
8900000257676,1
8900000265282,1
8900000118861,1
8900000265275,1
8900000118854,1
8900000245697,1
8900000118847,1
8900000257652,1
8900000245680,1
8900000257645,1
8900000118830,1
8900000245673,1
8900000222100,1
8900000257638,1
8900000245666,1
8900000257621,1
8900000245659,1
8900000233687,1
8900000241293,1
8900000257614,1
8900000241286,1
8900000233670,1
8900000257607,1
8900000219391,1
8900000241279,1
8900000157570,1
8900000219384,1
8900000157563,1
8900000219377,1
8900000253210,1
8900000253203,1
8900000233625,1
8900000157532,1
8900000264797,1
8900000233618,1
8900000233601,1
8900000264773,1
8900000157501,1
8900000264766,1
8900000252794,1
8900000264759,1
8900000252787,1
8900000260393,1
8900000260386,1
8900000264735,1
8900000260379,1
8900000264728,1
8900000260362,1
8900000264711,1
8900000252749,1
8900000260355,1
8900000258048,1
8900000238460,1
8900000258031,1
8900000252725,1
8900000260331,1
8900000119219,1
8900000252718,1
8900000260324,1
8900000258017,1
8900000260317,1
8900000252701,1
8900000258000,1
8900000152674,1
8900000260300,1
8900000152667,1
8900000222087,1
8900000238408,1
8900000206858,1
8900000249992,1
8900000257591,1
8900000218806,1
8900000222056,1
8900000257584,1
8900000152629,1
8900000222049,1
8900000257577,1
8900000237999,1
8900000152612,1
8900000257560,1
8900000257553,1
8900000237975,1
8900000245581,1
8900000183760,1
8900000257546,1
8900000237968,1
8900000257539,1
8900000265145,1
8900000237951,1
8900000060153,1
8900000253166,1
8900000237944,1
8900000245550,1
8900000233588,1
8900000183739,1
8900000257515,1
8900000265121,1
8900000157488,1
8900000233571,1
8900000257508,1
8900000265114,1
8900000237920,1
8900000233564,1
8900000265107,1
8900000219278,1
8900000245512,1
8900000165063,1
8900000157440,1
8900000165049,1
8900000157433,1
8900000264698,1
8900000165032,1
8900000264681,1
8900000165025,1
8900000264674,1
8900000264667,1
8900000165001,1
8900000264650,1
8900000260294,1
8900000119172,1
8900000264643,1
8900000252671,1
8900000238392,1
8900000264636,1
8900000252664,1
8900000238385,1
8900000264629,1
8900000264612,1
8900000260256,1
8900000218790,1
8900000264605,1
8900000260249,1
8900000119110,1
8900000238347,1
8900000218769,1
8900000252619,1
8900000218752,1
8900000252602,1
8900000218745,1
8900000238316,1
8900000090747,1
8900000257478,1
8900000265084,1
8900000265077,1
8900000118656,1
8900000257461,1
8900000265060,1
8900000253098,1
8900000237876,1
8900000257447,1
8900000265053,1
8900000237869,1
8900000265046,1
8900000257430,1
8900000253074,1
8900000237852,1
8900000233496,1
8900000265039,1
8900000257423,1
8900000237845,1
8900000257416,1
8900000265022,1
8900000257409,1
8900000265015,1
8900000245437,1
8900000237821,1
8900000233465,1
8900000265008,1
8900000237814,1
8900000245420,1
8900000233458,1
8900000245413,1
8900000241057,1
8900000245406,1
8900000233427,1
8900000264599,1
8900000233410,1
8900000264582,1
8900000233403,1
8900000264568,1
8900000252596,1
8900000264551,1
8900000252589,1
8900000260195,1
8900000256938,1
8900000264544,1
8900000188451,1
8900000232994,1
8900000264537,1
8900000119059,1
8900000238286,1
8900000256914,1
8900000264520,1
8900000252558,1
8900000260164,1
8900000119042,1
8900000264513,1
8900000252541,1
8900000238262,1
8900000264506,1
8900000232949,1
8900000260102,1
8900000240517,1
8900000226238,1
8900000240500,1
8900000257393,1
8900000237791,1
8900000245390,1
8900000237777,1
8900000245383,1
8900000245376,1
8900000245369,1
8900000099832,1
8900000245345,1
8900000099825,1
8900000245338,1
8900000099818,1
8900000245321,1
8900000245307,1
8900000256884,1
8900000264490,1
8900000256877,1
8900000264483,1
8900000233304,1
8900000264476,1
8900000256860,1
8900000264469,1
8900000125654,1
8900000256846,1
8900000264452,1
8900000256839,1
8900000264445,1
8900000244867,1
8900000232895,1
8900000264438,1
8900000244850,1
8900000256815,1
8900000264421,1
8900000244843,1
8900000260058,1
8900000264407,1
8900000244829,1
8900000240463,1
8900000244812,1
8900000244805,1
8900000260003,1
8900000232819,1
8900000240425,1
8900000232802,1
8900000240401,1
8900000263967,1
8900000263950,1
8900000195466,1
8900000263929,1
8900000245284,1
8900000245277,1
8900000169184,1
8900000263905,1
8900000245260,1
8900000233298,1
8900000251926,1
8900000245253,1
8900000245239,1
8900000245222,1
8900000225644,1
8900000233250,1
8900000245215,1
8900000169122,1
8900000225637,1
8900000245208,1
8900000169115,1
8900000256792,1
8900000264391,1
8900000129935,1
8900000256778,1
8900000264384,1
8900000264377,1
8900000129911,1
8900000256754,1
8900000264360,1
8900000264353,1
8900000264346,1
8900000256730,1
8900000264339,1
8900000244751,1
8900000256716,1
8900000264322,1
8900000252350,1
8900000240388,1
8900000256709,1
8900000264315,1
8900000240371,1
8900000264308,1
8900000244720,1
8900000240357,1
8900000244706,1
8900000240340,1
8900000144679,1
8900000232727,1
8900000240333,1
8900000232710,1
8900000218431,1
8900000263882,1
8900000240319,1
8900000238002,1
8900000263875,1
8900000249596,1
8900000218417,1
8900000218400,1
8900000251889,1
8900000263844,1
8900000251872,1
8900000251865,1
8900000249558,1
8900000257164,1
8900000249541,1
8900000245185,1
8900000169092,1
8900000106370,1
8900000249534,1
8900000245178,1
8900000169085,1
8900000237555,1
8900000245161,1
8900000245147,1
8900000245130,1
8900000237517,1
8900000245123,1
8900000237500,1
8900000169009,1
8900000256693,1
8900000264292,1
8900000268641,1
8900000256679,1
8900000264285,1
8900000213528,1
8900000268634,1
8900000264278,1
8900000256662,1
8900000244690,1
8900000268627,1
8900000256655,1
8900000264261,1
8900000244683,1
8900000268610,1
8900000264254,1
8900000268603,1
8900000264247,1
8900000256631,1
8900000244669,1
8900000264230,1
8900000252268,1
8900000244652,1
8900000256617,1
8900000264223,1
8900000244645,1
8900000244638,1
8900000264209,1
8900000218387,1
8900000244621,1
8900000101443,1
8900000068487,1
8900000251797,1
8900000257089,1
8900000249466,1
8900000249459,1
8900000245093,1
8900000257058,1
8900000163670,1
8900000245062,1
8900000229840,1
8900000163663,1
8900000245055,1
8900000163656,1
8900000245048,1
8900000163649,1
8900000268597,1
8900000245024,1
8900000217830,1
8900000268580,1
8900000245017,1
8900000217823,1
8900000268573,1
8900000245000,1
8900000256594,1
8900000256587,1
8900000264193,1
8900000264186,1
8900000256570,1
8900000264179,1
8900000117758,1
8900000244591,1
8900000264162,1
