manik,
8900000037100,1
8900000196692,1
8900000243211,1
8900000277339,1
8900000199525,1
8900000277346,1
8900000100859,1
8900000278084,1
8900000187027,1
8900000195459,1
8900000050895,1
8900000279524,1
8900000272921,1
8900000108725,1
8900000280674,1
8900000260928,1
8900000280735,1
8900000185658,1
8900000183432,1
8900000100866,1
8900000261918,1
8900000283859,1
8900000267750,1
8900000195893,1
8900000286744,1
8900000240579,1
8900000310401,1
8900000293667,1
8900000309054,1
8900000319909,1
8900000310272,1
8900000316397,1
8900000292882,1
8900000331024,1
8900000310258,1
8900000316403,1
8900000308460,1
8900000309061,1
8900000288175,1
8900000350018,1
8900000308736,1
8900000243662,1
