manik,
8900000007752,1
8900000209569,1
8900000214587,1
8900000244119,1
8900000257522,2
8900000257546,1
8900000281220,1
8900000303335,1
8900000311095,1
8900000322350,2
8900000330508,1
8900000331505,1
8900000343423,1
8900000355624,3
8900000355846,1
8900000361502,2
8900000362332,1
8900000365739,1
8900000366484,2
8900000116393,3
8900000130467,3
8900000165001,3
8900000167494,2
8900000238750,2
8900000257430,1
8900000269013,1
8900000275618,1
8900000285518,1
8900000301218,1
8900000311163,1
8900000311187,1
8900000312832,3
8900000312887,2
8900000312900,1
8900000323586,2
8900000325375,1
8900000325573,2
8900000334599,1
8900000335046,3
8900000337330,2
8900000337347,3
8900000339433,2
8900000339457,2
8900000339464,2
8900000339488,1
8900000345915,1
8900000346103,1
8900000346875,1
8900000351329,1
8900000353514,1
8900000355884,1
8900000357161,1
8900000358564,1
8900000358618,1
8900000360215,1
8900000371365,2
8900000371389,1
8900000371433,1
8900000371914,1
8900000372751,1
8900000373116,1
8900000373123,1
8900000373130,1
8900000373147,1
8900000251698,1
8900000263356,1
8900000312979,1
8900000312986,1
8900000312993,1
8900000320707,1
8900000364831,1
8900000365289,1
8900000367757,1
8900000160334,1
8900000246236,1
8900000270286,1
8900000270354,1
8900000271108,1
8900000272716,1
8900000274048,1
8900000275083,1
8900000293018,1
8900000368471,1
8900000369980,1
8900000327881,1
8900000330607,1
8900000331741,1
8900000347384,2
8900000378685,1
8900000246120,1
8900000308637,1
8900000326198,1
8900000345090,1
8900000346554,1
8900000361632,1
8900000252954,3
8900000305377,2
8900000334155,1
8900000378340,1
8900000216918,1
8900000302826,1
8900000355396,1
8900000349807,1
8900000355778,1
8900000370146,1
,
,
,
