lkthane,
8900000183708,1
8900000183746,1
8900000248186,1
8900000306954,2
8900000308194,1
8900000311095,1
8900000311101,1
8900000336425,1
8900000350414,2
8900000350421,2
8900000350452,1
8900000350469,1
8900000351640,2
8900000369676,1
8900000369683,2
8900000369690,2
8900000369706,1
8900000369720,1
8900000369744,1
8900000375639,1
8900000375646,2
8900000375653,2
8900000375660,1
8900000375684,1
8900000375691,1
8900000375707,1
8900000375882,2
8900000375899,2
8900000375936,1
8900000379477,1
8900000379484,2
8900000379491,2
8900000379507,1
8900000379538,1
8900000379590,1
8900000383221,1
8900000383245,1
8900000383276,2
8900000383283,2
8900000383306,1
8900000383313,1
8900000383320,1
8900000383337,1
8900000383344,1
8900000383351,2
8900000383368,2
8900000383382,1
8900000383399,1
8900000383405,1
8900000383672,2
8900000383719,1
8900000383726,1
8900000383740,1
8900000383757,2
8900000383764,2
8900000383795,1
8900000383801,1
8900000384099,2
8900000384129,1
8900000384136,1
8900000384280,1
8900000384297,1
8900000385225,1
8900000385232,2
8900000385249,2
8900000385270,1
8900000385287,1
8900000385317,2
8900000385324,2
8900000385355,1
8900000385362,1
8900000386215,1
8900000386222,2
8900000386239,2
8900000386260,1
8900000386277,1
8900000386383,2
8900000386390,2
8900000386406,1
8900000386451,1
8900000386475,2
8900000386499,1
8900000386512,1
8900000387168,1
8900000387175,2
8900000387182,2
8900000387205,1
8900000387212,1
8900000387229,1
8900000387328,2
8900000387335,2
8900000387373,1
8900000387403,2
8900000387410,2
8900000387434,1
8900000387441,1
8900000387458,1
8900000387472,1
8900000387489,2
8900000387496,2
8900000387502,1
8900000387519,1
8900000387526,1
8900000387533,1
8900000387717,1
8900000387724,2
8900000387731,2
8900000387748,1
8900000387755,1
8900000387762,1
8900000387779,1
8900000387786,1
8900000388202,1
8900000388219,1
8900000388707,2
8900000388714,2
8900000388776,2
8900000389766,1
8900000389773,2
8900000389780,2
8900000389797,1
8900000389803,1
8900000389810,1
8900000389827,1
8900000389834,1
8900000390045,2
8900000390076,1
8900000390083,1
8900000390113,2
8900000390120,2
8900000390151,1
8900000390168,1
8900000390212,1
8900000390229,2
8900000390250,1
8900000390267,1
8900000390274,1
8900000390830,1
8900000390847,2
8900000390854,2
8900000390885,1
8900000390892,1
8900000390915,1
8900000390922,2
8900000390939,2
8900000390960,1
8900000390977,1
8900000390991,1
8900000391004,2
8900000391011,2
8900000391042,1
8900000391059,1
8900000391103,1
8900000391110,2
8900000391127,2
8900000391141,1
8900000391158,1
8900000391165,1
8900000391530,1
8900000391547,2
8900000391554,2
8900000391561,1
8900000391578,1
8900000391585,1
8900000391592,1
8900000391608,1
8900000391707,1
8900000391714,2
8900000391721,2
8900000391745,1
8900000391752,1
8900000391769,1
8900000392292,1
8900000392308,2
8900000392315,2
8900000392346,1
8900000392353,1
8900000392513,1
8900000392520,2
8900000392537,2
8900000392568,1
8900000392575,1
8900000392742,1
8900000392759,2
8900000392766,2
8900000392773,1
8900000392780,1
8900000392797,1
8900000392803,1
8900000393701,1
8900000393718,2
8900000393725,2
8900000393732,1
8900000393749,1
8900000393756,1
8900000393763,1
8900000393770,1
8900000393930,1
8900000393947,2
8900000393954,2
8900000393961,1
8900000393978,1
8900000393985,1
8900000393992,1
8900000394005,1
8900000394272,1
8900000394289,2
8900000394296,2
8900000394302,1
8900000394319,1
8900000394326,1
8900000394333,1
8900000394340,1
8900000394357,1
8900000394364,2
8900000394371,2
8900000394388,1
8900000394395,1
8900000394401,1
8900000394418,1
8900000394425,1
8900000394586,1
8900000394593,2
8900000394609,2
8900000394616,1
8900000394623,1
8900000394630,1
8900000394647,1
8900000394654,1
8900000395248,1
8900000395255,2
8900000395262,2
8900000395286,1
8900000395293,1
8900000395309,1
8900000395323,1
8900000395330,2
8900000395347,2
8900000395354,1
8900000395361,1
8900000395378,1
8900000395385,1
8900000395392,1
8900000395484,1
8900000395491,2
8900000395507,2
8900000395514,1
8900000395521,1
8900000395538,1
8900000395545,1
8900000395552,1
8900000395736,1
8900000395743,2
8900000395750,2
8900000395774,1
8900000395781,1
8900000395798,1
8900000395804,1
8900000395934,1
8900000395941,2
8900000395958,2
8900000395965,1
8900000395972,1
8900000395989,1
8900000395996,1
8900000396009,1
8900000397075,1
8900000397082,2
8900000397099,2
8900000397105,1
8900000397112,1
8900000397129,1
8900000397136,1
8900000397143,1
8900000397754,1
8900000397761,2
8900000397778,2
8900000397785,1
8900000397792,1
8900000397808,1
8900000397815,1
8900000397822,1
8900000397990,1
8900000398003,2
8900000398010,2
8900000398027,1
8900000398034,1
8900000398041,1
8900000398058,1
8900000398065,1
8900000398409,2
8900000399093,1
8900000399109,2
8900000399116,2
8900000399123,1
8900000399130,1
8900000399147,1
8900000399154,1
8900000399161,1
8900000399819,1
8900000399826,2
8900000399833,2
8900000399840,1
8900000399857,1
8900000399864,1
8900000399871,1
8900000399888,1
8900000400041,1
8900000400713,2
8900000400720,2
8900000400737,1
8900000400744,1
8900000400751,1
8900000400768,1
8900000400775,1
8900000401260,1
8900000401277,2
8900000401284,2
8900000401291,1
8900000401307,1
8900000401314,1
8900000401321,1
8900000401338,1
8900000401444,1
8900000401451,2
8900000401468,2
8900000401482,1
8900000401499,1
8900000401505,1
8900000401529,1
8900000401536,2
8900000401543,2
8900000401567,1
8900000401574,1
8900000401581,1
8900000401925,1
8900000401932,2
8900000401949,2
8900000401956,1
8900000401963,1
8900000401970,1
8900000401987,1
8900000401994,1
8900000402632,1
8900000402649,2
8900000402656,2
8900000402663,1
8900000402670,1
8900000402687,1
8900000402694,1
8900000402700,1
8900000402793,1
8900000402809,2
8900000402816,2
8900000402830,1
8900000402847,1
8900000402854,1
8900000402878,1
8900000402885,2
8900000402892,2
8900000402922,1
8900000402939,1
8900000402953,1
8900000402960,2
8900000402977,2
8900000403004,1
8900000403011,1
8900000403066,1
8900000403073,2
8900000403080,2
8900000403103,1
8900000403110,1
8900000403127,1
8900000403226,1
8900000403233,2
8900000403240,2
8900000403264,1
8900000403271,1
8900000403288,1
8900000403813,1
8900000403820,2
8900000403837,2
8900000403851,1
8900000403868,1
8900000403875,1
8900000403899,1
8900000403905,2
8900000403912,2
8900000403936,1
8900000403943,1
8900000403950,1
8900000403967,1
8900000404056,1
8900000404063,2
8900000404070,2
8900000404087,1
8900000404094,1
8900000404100,1
8900000404186,1
8900000404193,2
8900000404209,2
8900000404223,1
8900000404230,1
8900000404247,1
8900000404261,1
8900000404278,2
8900000404285,2
8900000404308,1
8900000404315,1
8900000404322,1
8900000404346,1
8900000404353,2
8900000404360,2
8900000404384,1
8900000404391,1
8900000404407,1
8900000404889,1
8900000404896,2
8900000404902,2
8900000404919,1
8900000404926,1
8900000404933,1
8900000404940,1
8900000404957,1
8900000405374,1
8900000405381,2
8900000405398,2
8900000405404,1
8900000405411,1
8900000405428,1
8900000405435,1
8900000405442,1
8900000406555,1
8900000406562,2
8900000406579,2
8900000409945,1
8900000409952,2
8900000409969,2
8900000409976,1
8900000409983,1
8900000409990,1
8900000410002,1
8900000410019,1
8900000410026,1
8900000410033,2
8900000410040,2
8900000410064,1
8900000410071,1
8900000410101,1
8900000410118,2
8900000410125,2
8900000410132,1
8900000410149,1
8900000410156,1
8900000410163,1
8900000410170,1
8900000410262,1
8900000410279,2
8900000410286,2
8900000410293,1
8900000410309,1
8900000410316,1
8900000410323,1
8900000410354,2
8900000410392,1
8900000410439,2
8900000410446,2
8900000410453,1
8900000411269,1
8900000411276,2
8900000411283,2
8900000411290,1
8900000411306,1
8900000411313,1
8900000411320,1
8900000411337,1
8900000411429,1
8900000411436,2
8900000411467,1
8900000411474,1
8900000411481,1
8900000411702,1
8900000411719,2
8900000411726,2
8900000411757,1
8900000411764,1
8900000411887,2
8900000412426,1
