manik,
8900000036752,1
8900000036769,2
8900000119196,1
8900000119202,2
8900000119219,2
8900000119226,1
8900000417827,1
8900000417834,1
8900000417865,1
8900000418480,1
8900000415502,1
8900000415519,1
8900000415526,1
8900000418244,1
8900000418251,2
8900000418268,1
8900000415304,2
8900000415342,1
8900000415359,1
8900000418213,2
8900000418640,1
8900000414833,2
8900000414840,2
8900000414857,2
8900000414864,1
8900000414871,1
8900000414888,2
8900000414895,2
8900000415663,2
8900000415687,1
8900000415700,1
8900000418046,1
8900000415625,1
8900000415427,2
8900000415434,1
8900000415465,1
8900000413898,2
8900000413904,1
8900000413911,1
8900000413928,1
8900000413935,1
8900000413942,1
8900000413959,1
8900000418862,2
8900000418886,1
8900000417698,2
8900000410828,2
8900000410835,2
8900000410842,2
8900000410859,1
8900000410989,2
8900000410996,2
8900000411009,2
8900000411016,1
8900000411023,1
8900000411047,1
8900000410903,1
8900000410910,1
8900000410934,1
8900000411344,1
8900000411368,1
8900000418565,1
8900000418572,1
8900000418589,1
8900000418329,2
8900000415748,2
8900000415380,1
8900000415229,1
8900000415236,1
8900000415243,2
8900000415250,1
8900000415274,1
8900000415281,1
8900000415298,1
8900000415908,1
8900000415915,2
8900000415922,1
8900000415953,1
8900000415960,1
8900000356706,1
8900000356713,1
8900000397693,1
8900000397709,1
8900000397716,2
8900000397723,2
8900000397730,1
8900000397747,1
8900000398560,1
8900000398577,1
8900000398584,2
8900000398591,2
8900000398607,1
8900000398614,1
8900000403752,1
8900000403769,1
8900000403776,2
8900000403783,2
8900000403790,1
8900000403806,1
8900000419135,1
8900000419142,1
8900000419159,1
8900000403547,1
8900000403554,1
8900000403561,2
8900000403578,2
8900000403585,1
8900000403592,1
8900000403479,1
8900000403486,1
8900000403493,2
8900000403509,2
8900000403516,1
8900000403523,1
8900000403400,1
8900000403417,1
8900000403424,2
8900000403431,2
8900000403448,1
8900000403455,1
8900000397341,1
8900000397358,1
8900000397365,2
8900000397372,2
8900000397389,1
8900000397396,1
8900000397419,1
8900000397426,1
8900000397433,2
8900000397440,2
8900000397457,1
8900000397464,1
8900000418138,1
8900000405312,1
8900000405329,1
8900000405336,2
8900000405343,2
8900000405350,1
8900000405367,1
8900000405466,1
8900000405473,1
8900000405480,2
8900000405497,2
8900000405503,1
8900000405510,1
8900000415984,2
8900000415991,2
8900000416004,1
8900000416011,1
8900000416066,2
8900000416073,2
8900000416080,2
8900000416097,1
8900000397488,1
8900000397495,1
8900000397501,2
8900000397518,2
8900000397525,1
8900000397532,1
8900000414918,1
8900000414925,1
8900000414932,1
8900000400317,1
8900000400324,2
8900000400331,1
8900000415120,2
8900000415137,2
8900000415144,2
8900000415007,1
8900000415014,1
8900000414956,1
8900000414963,1
8900000414970,1
8900000400348,1
8900000400355,1
8900000400362,1
8900000400461,1
8900000400478,1
8900000400485,1
8900000405947,1
8900000405954,1
8900000413812,2
8900000413829,2
8900000413836,1
8900000413843,1
8900000416424,1
8900000415076,2
8900000415083,2
8900000415090,2
8900000415106,1
8900000350735,2
8900000415182,2
8900000415199,2
8900000415205,2
8900000415212,1
8900000413546,2
8900000413553,2
8900000413560,2
8900000413577,1
8900000415038,2
8900000415045,2
8900000415052,2
8900000415069,1
8900000351008,1
8900000351022,1
8900000342600,1
8900000349937,1
8900000349944,2
8900000349951,1
8900000357932,1
8900000359257,1
8900000359264,2
8900000359271,1
8900000359288,1
8900000359295,1
8900000356584,2
8900000356591,1
8900000356607,1
8900000356614,1
8900000356621,1
8900000355730,2
8900000355747,2
8900000355754,1
8900000355761,1
8900000355778,1
8900000361977,1
8900000361984,2
8900000361991,1
8900000362004,1
8900000355402,1
8900000361458,1
8900000361472,1
8900000359165,2
8900000359172,2
8900000359189,1
8900000359196,1
8900000359202,1
8900000359219,1
8900000354610,2
8900000354627,1
8900000354641,1
8900000363568,1
8900000363582,1
8900000379170,1
8900000379187,1
8900000379194,2
8900000379200,2
8900000379217,1
8900000379224,1
8900000379231,1
8900000379279,1
8900000379293,1
8900000379309,1
8900000417254,1
8900000417261,1
8900000417278,2
8900000417285,2
8900000417292,2
8900000417308,2
8900000417315,1
8900000417322,1
8900000416516,1
8900000416523,1
8900000416530,2
8900000416547,2
8900000416554,1
8900000416561,1
8900000417025,1
8900000417032,1
8900000417056,1
8900000417063,2
8900000417070,1
8900000417087,1
8900000417094,1
8900000418954,1
8900000418985,1
8900000368907,1
8900000368914,1
8900000368921,1
8900000368938,1
8900000368945,1
8900000416929,1
8900000416936,1
8900000406210,1
8900000406227,1
8900000406234,2
8900000406241,2
8900000406258,2
8900000406265,2
8900000406272,1
8900000406289,1
8900000406296,1
8900000396627,1
8900000396634,2
8900000396641,2
8900000396658,1
8900000396108,2
8900000396115,2
8900000396122,2
8900000396139,2
8900000396146,1
8900000417001,1
8900000416646,1
8900000416653,1
8900000380596,1
8900000380619,1
8900000380626,1
8900000380640,1
8900000380404,1
8900000380411,1
8900000380312,1
8900000380336,2
8900000380343,2
8900000380367,1
