lkthane,
8900000431724,1
8900000431731,1
8900000431717,1
8900000427970,1
8900000428021,1
8900000428106,1
8900000428052,1
8900000428038,1
8900000428045,1
8900000429165,1
8900000429172,1
8900000429158,1
8900000424238,1
8900000424276,1
8900000424221,1
8900000424245,1
8900000431489,1
8900000431496,1
8900000431472,1
8900000431519,1
8900000424313,1
8900000424306,1
8900000424320,1
8900000428755,1
8900000428793,1
8900000430765,1
8900000430802,1
8900000430772,1
8900000430826,1
8900000430796,1
8900000418510,1
8900000418527,1
8900000418503,1
8900000418541,1
8900000418497,1
8900000418534,1
8900000418480,1
8900000431014,1
8900000431045,1
8900000431038,1
8900000431007,1
8900000430550,1
8900000430567,1
8900000428670,1
8900000428687,1
8900000431311,1
8900000431328,1
8900000431366,1
8900000423057,1
8900000431571,1
8900000431557,1
8900000431595,1
8900000431601,1
8900000427819,1
8900000427857,1
8900000427840,1
8900000427901,1
8900000427949,1
8900000427888,1
8900000427918,1
8900000427871,1
8900000425549,1
8900000425488,1
8900000425525,1
8900000425518,1
8900000425471,1
8900000425532,1
8900000425495,1
8900000426188,1
8900000426171,1
8900000426140,1
8900000426126,1
8900000426157,1
8900000426119,1
8900000426133,1
8900000426164,1
8900000420049,1
8900000420063,1
8900000419999,1
8900000420025,1
8900000420001,1
8900000420056,1
8900000420032,1
8900000425860,1
8900000425822,1
8900000425846,1
8900000425839,1
8900000425853,1
8900000425792,1
8900000425815,1
8900000425808,1
8900000427215,1
8900000427208,1
8900000427185,1
8900000426089,1
8900000426072,1
8900000426096,1
8900000426041,1
8900000426034,1
8900000426058,1
8900000430239,1
8900000430222,1
8900000430215,1
8900000430208,1
8900000430246,1
8900000430192,1
8900000426768,1
8900000426782,1
8900000426775,1
8900000426751,1
8900000430635,1
8900000430611,1
8900000430604,1
8900000430598,1
8900000423149,1
8900000423118,1
8900000423156,1
8900000423132,1
8900000423125,1
8900000423101,1
8900000423088,1
8900000423095,1
8900000428878,1
8900000428861,1
8900000428830,1
8900000428854,1
8900000428847,1
8900000422753,1
8900000422685,1
8900000422746,1
8900000422722,1
8900000422739,1
8900000422708,1
8900000422692,1
8900000429110,1
8900000429141,1
8900000429103,1
8900000429097,1
8900000429127,1
8900000429073,1
8900000429134,1
8900000429080,1
8900000422142,1
8900000422111,1
8900000422135,1
8900000422104,1
8900000422128,1
8900000422081,1
8900000422098,1
8900000427543,1
8900000427499,1
8900000427512,1
8900000427482,1
8900000427529,1
8900000427475,1
8900000429745,1
8900000429738,1
8900000429752,1
8900000429721,1
8900000429714,1
8900000431694,1
8900000431663,1
8900000431670,1
8900000431656,1
8900000431632,1
8900000431649,1
8900000429998,1
8900000429981,1
8900000426195,1
8900000426249,1
8900000426256,1
8900000426232,1
8900000426201,1
8900000426218,1
8900000426522,1
8900000426546,1
8900000426560,1
8900000429646,1
8900000429653,1
8900000429516,1
8900000429523,1
8900000429486,1
8900000429493,1
8900000431465,1
8900000431410,1
8900000431427,1
8900000428137,1
8900000428175,1
8900000428113,1
8900000428144,1
8900000428151,1
8900000424405,1
8900000424429,1
8900000424399,1
8900000424368,1
8900000424382,1
8900000424375,1
8900000427635,1
8900000427659,1
8900000427703,1
8900000427666,1
8900000427697,1
8900000427673,1
8900000427680,1
8900000428571,1
8900000428564,1
8900000428557,1
8900000428588,1
8900000428526,1
8900000428519,1
8900000428533,1
8900000428540,1
8900000421602,1
8900000421558,1
8900000421565,1
8900000421572,1
8900000426485,1
8900000426461,1
8900000426508,1
8900000426454,1
8900000426492,1
8900000426447,1
8900000426478,1
8900000426430,1
8900000421862,1
8900000421923,1
8900000421916,1
8900000421886,1
8900000421879,1
8900000421893,1
8900000426010,1
8900000425983,1
8900000426027,1
8900000426003,1
8900000425990,1
8900000425969,1
8900000425952,1
8900000422456,1
8900000422432,1
8900000422470,1
8900000422425,1
8900000422401,1
8900000422463,1
8900000422418,1
8900000422449,1
8900000429929,1
8900000429905,1
8900000429943,1
8900000429899,1
8900000429912,1
8900000429882,1
8900000429875,1
8900000427734,1
8900000427710,1
8900000427741,1
8900000427451,1
8900000427420,1
8900000427468,1
8900000427444,1
8900000427406,1
8900000427413,1
8900000431304,1
8900000431267,1
8900000431243,1
8900000431250,1
8900000431281,1
8900000431274,1
8900000431236,1
8900000431298,1
10070012295,1
8900000427291,1
8900000427246,1
8900000427253,1
8900000421176,1
8900000421169,1
8900000421138,1
8900000421121,1
8900000420131,1
8900000420094,1
8900000420148,1
8900000420070,1
8900000420100,1
8900000420087,1
8900000420117,1
8900000420124,1
8900000427611,1
8900000427598,1
8900000427581,1
8900000427574,1
8900000427550,1
8900000428410,1
8900000428403,1
8900000428427,1
8900000428397,1
8900000428359,1
8900000428373,1
8900000427000,1
8900000427017,1
8900000427031,1
8900000426997,1
8900000430185,1
8900000430154,1
8900000430161,1
8900000430123,1
8900000430130,1
8900000430116,1
8900000421718,1
8900000421701,1
8900000421732,1
8900000421725,1
8900000421749,1
8900000421763,1
8900000421756,1
8900000412815,1
8900000412785,1
8900000412792,1
8900000412778,1
8900000412808,1
8900000412761,1
8900000422555,1
8900000422517,1
8900000422548,1
8900000422531,1
8900000422494,1
8900000422500,1
8900000422524,1
8900000422487,1
8900000428625,1
8900000428649,1
8900000428663,1
8900000428595,1
8900000428632,1
8900000428618,1
8902001623955,1
8900000419944,1
8900000419920,1
8900000419913,1
8900000419982,1
8900000419951,1
8900000422951,1
8900000422999,1
8900000422944,1
8900000422937,1
8900000422975,1
8900000422968,1
8900000422920,1
10020022306,1
8902001673493,1
10020027848,1
10020027856,1
8900000420216,1
8902001651538,1
8902001673479,1
8900000420223,1
8900000420209,1
8900000420162,1
8900000420155,1
8900000420179,1
8900000420186,1
8900000430451,1
8900000430437,1
8900000430499,1
8900000430475,1
8900000430468,1
8900000421800,1
8900000421831,1
8900000421824,1
8900000421848,1
8900000421794,1
8900000421787,1
8900000421817,1
8900000421770,1
8900000422906,1
8900000422845,1
8900000422869,1
8900000422913,1
8900000422876,1
8900000422852,1
8900000422890,1
8900000422883,1
8900000428434,1
8900000428458,1
8900000428465,1
8900000428496,1
8900000428472,1
8900000428441,1
8900000424177,1
8900000424160,1
8900000424139,1
8900000424184,1
8900000424146,1
8900000424122,1
8900000429806,1
8900000429790,1
8900000429837,1
8900000429868,1
8900000429813,1
8900000429851,1
8900000429820,1
8900000429844,1
8900000426713,1
8900000426706,1
8900000426690,1
8900000426676,1
8900000409532,1
8900000409495,1
8900000419821,1
8900000419784,1
8900000419814,1
8900000419807,1
8900000419791,1
8900000419777,1
8900000419760,1
8900000419753,1
8900000421527,1
10070010461,1
8900000421497,1
8900000421480,1
8900000421503,1
8900000421510,1
8900000427147,1
8900000427116,1
8900000427130,1
8900000427109,1
8900000427123,1
8900000427079,1
8900000427086,1
8900000428328,1
8900000428335,1
8900000428298,1
8900000428342,1
8900000428274,1
8900000428281,1
8900000425464,1
8900000425440,1
8900000425433,1
8900000425426,1
8900000425396,1
8900000425457,1
8900000425402,1
8900000425419,1
8900000421688,1
8900000421664,1
8900000421619,1
8900000421657,1
8900000421640,1
8900000421626,1
8900000421633,1
8900000430871,1
8900000430833,1
8900000430840,1
8900000430864,1
8900000430895,1
8900000430901,1
8900000430857,1
8900000430888,1
8900000429035,1
8900000429042,1
8900000428991,1
8900000429004,1
8900000429011,1
8900000426270,1
8900000426300,1
8900000426294,1
8900000426287,1
8900000428960,1
8900000428953,1
8900000428922,1
8900000428915,1
8900000430291,1
8900000430338,1
8900000430277,1
8900000430284,1
8900000430321,1
8900000430307,1
8900000425679,1
8900000425686,1
8900000425631,1
8900000425693,1
8900000425655,1
8900000425648,1
8900000425761,1
8900000425754,1
8900000425716,1
8900000425778,1
8900000425747,1
8900000425730,1
8900000425723,1
8900000430956,1
8900000430918,1
8900000430925,1
8900000430949,1
8900000430987,1
8900000430970,1
8900000430932,1
8900000430963,1
8900000422333,1
8900000422364,1
8900000422395,1
8900000422371,1
8900000422388,1
8900000422357,1
8900000422340,1
8900000431212,1
8900000431182,1
8900000431229,1
8900000426423,1
8900000426409,1
8900000426393,1
8900000426362,1
8900000426416,1
8900000426379,1
8900000426355,1
8900000425600,1
8900000425624,1
8900000425587,1
8900000425617,1
8900000425594,1
8900000425563,1
8900000425556,1
8900000425570,1
8900000424092,1
8900000424115,1
8900000424108,1
8900000424054,1
8900000424061,1
8900000424078,1
8900000424085,1
8900000424047,1
8900000428229,1
8900000428250,1
8900000428267,1
8900000428236,1
8900000428199,1
8900000427352,1
8900000427369,1
8900000427376,1
8900000427345,1
8900000427321,1
8900000427314,1
8900000427338,1
8900000429264,1
8900000429257,1
8900000429233,1
8900000426607,1
8900000426652,1
8900000426614,1
8900000426638,1
8900000426591,1
8900000422319,1
8900000422258,1
8900000422272,1
8900000422265,1
8900000422296,1
8900000422289,1
8900000422302,1
8900000426980,1
8900000426928,1
8900000426911,1
8900000426942,1
8900000426973,1
8900000426850,1
8900000429394,1
8900000429431,1
8900000429448,1
8900000429455,1
8900000429424,1
8900000429400,1
8900000429462,1
8900000429417,1
8900000421961,1
8900000422005,1
8900000421992,1
8900000421985,1
8900000421954,1
8900000421978,1
8900000421947,1
8900000421930,1
8900000422210,1
8900000397693,1
8900000403752,1
8900000403769,1
8900000404841,1
8900000404797,1
8900000404834,1
8900000404803,1
8900000404827,1
8900000404810,1
8900000405572,1
8900000405534,1
8900000405589,1
8900000405541,1
8900000405558,1
8900000405565,1
8900000406159,1
8900000406197,1
8900000406203,1
8900000406166,1
8900000406180,1
8900000406173,1
8900000403547,1
8900000403523,1
8900000403479,1
8900000394975,1
8900000395026,1
8900000395019,1
8900000394982,1
8900000395002,1
8900000394999,1
8900000406333,1
8900000406388,1
8900000406371,1
8900000406340,1
8900000406364,1
8900000406357,1
8900000359868,1
8900000359813,1
8900000359875,1
8900000405466,1
8900000397488,1
8900000419661,1
8900000326143,1
8900000326136,1
8900000424986,1
8900000424993,1
8900000361632,1
8900000361687,1
8900000361649,1
8900000361625,1
8900000361663,1
8900000361670,1
8900000361038,1
8900000361106,1
8900000361069,1
8900000361083,1
8900000361090,1
8900000363650,1
8900000363674,1
8900000363605,1
8900000363667,1
8900000353965,1
8900000335930,1
8900000335947,1
8900000335923,1
8900000335916,1
8900000335893,1
8900000423309,1
8900000423255,1
8900000423286,1
8900000423279,1
8900000423293,1
8900000354672,1
8900000355228,1
8900000355211,1
8900000361786,1
8900000361779,1
8900000368952,1
8900000368914,1
8900000368945,1
8900000368907,1
8900000416615,1
8900000416592,1
8900000416608,1
8900000419715,1
8900000419722,1
8900000416646,1
8900000331789,1
8900000331734,1
8900000331741,1
8900000331796,1
8900000331802,1
8900000331727,1
8900000422586,1
8900000422562,1
8900000422630,1
8900000422579,1
8900000422623,1
8900000422647,1
8900000184767,1
8900000184750,1
8900000184743,1
8900000425334,1
8900000425310,1
8900000425327,1
8900000216789,1
8900000216819,1
8900000216826,1
8900000216802,1
8900000425051,1
8900000425068,1
8900000425037,1
8900000425075,1
8900000216895,1
8900000216871,1
8900000216888,1
8900000216918,1
8900000216901,1
8900000424900,1
8900000424924,1
8900000424894,1
8900000424917,1
8900000424931,1
8900000220335,1
8900000220359,1
8900000423675,1
8900000220342,1
8900000423682,1
8900000423668,1
8900000423651,1
8900000220328,1
8900000289158,1
8900000289172,1
8900000424504,1
8900000424481,1
8900000289141,1
8900000424498,1
8900000289134,1
8900000289189,1
8900000424528,1
8900000424474,1
8900000289165,1
8900000424511,1
8900000263530,1
8900000423538,1
8900000263516,1
8900000263554,1
8900000423477,1
8900000263547,1
8900000263493,1
8900000263486,1
8900000423514,1
8900000263523,1
8900000263509,1
8900000423545,1
8900000423484,1
8900000417520,1
8900000247875,1
8900000417506,1
8900000420339,1
8900000247936,1
8900000417483,1
8900000247868,1
8900000247882,1
8900000247912,1
8900000417490,1
8900000247899,1
8900000247929,1
8900000247905,1
8900000417544,1
8900000417537,1
8900000417513,1
8900000422050,1
8900000254606,1
8900000254545,1
8900000254583,1
8900000422012,1
8900000422074,1
8900000304998,1
8900000304950,1
8900000304981,1
8900000304943,1
8900000304936,1
8900000304967,1
8900000304929,1
8900000313501,1
8900000313563,1
8900000424801,1
8900000424863,1
8900000336289,1
8900000336333,1
8900000424542,1
8900000424597,1
8900000424603,1
8900000421091,1
8900000421077,1
8900000421046,1
8900000421084,1
8900000346523,1
8900000346585,1
8900000346592,1
8900000346561,1
8900000421022,1
8900000421060,1
8900000346578,1
8900000346547,1
8900000346554,1
8900000300778,1
8900000300839,1
8900000300846,1
8900000424696,1
8900000424627,1
8900000424689,1
8900000431083,1
8900000431076,1
8900000431090,1
8900000347339,1
8900000347322,1
8900000423446,1
8900000423453,1
8900000394838,1
8900000356041,1
8900000356034,1
8900000356096,1
8900000356089,1
8900000356058,1
8900000356065,1
8900000356072,1
8900000323432,1
8900000323463,1
8900000323401,1
8900000323425,1
8900000323449,1
8900000323395,1
8900000323418,1
8900000323456,1
8900000252718,1
8900000252695,1
8900000252732,1
8900000252725,1
8900000252688,1
8900000252701,1
8900000252671,1
8900000252664,1
