manik,
8900000447602,1
8900000447725,1
8900000447404,1
8900000162857,1
8900000447800,1
8900000432516,1
8900000447480,1
8900000350728,1
8900000418206,1
8900000441204,1
8900000447442,1
8900000446612,1
8900000220618,1
8900000160679,1
8900000447640,1
8900000447527,1
8900000447763,1
8900000441082,1
8900000220571,1
8900000447886,1
8900000229376,1
8900000446629,2
8900000350735,2
8900000229383,2
8900000441211,2
8900000447459,2
8900000447657,2
8900000447817,2
8900000447732,2
8900000418213,2
8900000160686,2
8900000447619,2
8900000447411,2
8900000447497,2
8900000220625,2
8900000441099,2
8900000220588,2
8900000447770,2
8900000162864,2
8900000447534,2
8900000447428,2
8900000162871,2
8900000220595,2
8900000447503,2
8900000418220,2
8900000350742,2
8900000441228,2
8900000160693,2
8900000447466,2
8900000229390,2
8900000447787,2
8900000447749,2
8900000447626,2
8900000447541,2
8900000447664,2
8900000446636,2
8900000441105,2
8900000447558,1
8900000160709,1
8900000447510,1
8900000447794,1
8900000447633,1
8900000441235,1
8900000220649,1
8900000229406,1
8900000447473,1
