lkthane,
8900000318773,1
8900000375691,1
8900000399123,1
8900000400720,1
8900000400768,1
8900000404070,1
8900000410323,1
8900000414031,1
8900000466733,1
8900000467938,1
8900000476374,1
8900000477029,1
8900000480517,1
8900000480555,1
8900000481262,1
8900000375899,1
8900000410286,1
8900000466818,1
8900000476336,1
8900000481859,1
8900000490806,1
8900000490844,1
8900000480678,1
8900000480715,1
8900000488810,1
8900000489459,1
8900000491476,1
8900000488773,1
8900000489411,1
8900000490646,1
8900000490684,1
8900000490721,1
8900000491513,1
8900000491810,1
8900000490769,1
8900000489442,1
8900000491858,1
8900000492411,1
8900000488117,1
8900000492374,1
8900000488155,1
8900000489404,1
8900000489367,1
8900000490837,1
8900000488728,1
8900000489329,1
8900000490424,1
8900000490509,1
8900000491506,1
8900000397099,1
8900000488803,1
8900000490387,1
8900000490677,1
8900000490462,1
8900000488681,1
8900000491841,1
8900000488766,1
8900000490639,1
8900000492404,1
8900000490790,1
8900000491469,1
8900000492367,1
8900000491803,1
8900000488148,1
8900000490714,1
8900000488100,1
8900000473281,1
8900000473335,1
8900000485871,1
8900000489497,1
8900000493791,1
8900000493074,1
8900000493111,1
8900000493821,1
8900000493067,1
8900000493104,1
8900000493784,1
