lkmedical,
8900000506811,1
8900000506828,1
8900000506835,1
8900000506842,0
8900000506859,0
8900000506866,1
8900000506873,1
8900000506880,0
8900000507443,1
8900000507450,1
8900000507467,1
8900000507498,1
8900000507504,1
8900000506651,1
8900000506668,1
8900000506675,1
8900000506682,0
8900000506699,0
8900000506705,1
8900000506712,1
8900000506729,0
8900000507368,1
8900000507375,1
8900000507382,1
8900000507412,1
8900000507429,1
8900000507603,1
8900000507610,1
8900000507627,1
8900000507658,1
8900000507665,1
8900000509874,1
8900000509881,1
8900000509898,1
