lkamravati,Sale Qty
8900000509249,1
8900000511358,1
8900000488902,2
8900000356829,1
8900000596010,1
8900000429127,1
8900000612116,1
8900000582891,1
8900000392612,2
8900000582396,1
8900000578207,1
8900000606283,1
8900000500536,1
8900000356850,1
8900000607082,1
8900000338405,3
8900000481736,1
8900000483068,1
8900000625031,2
8900000618590,1
8900000590971,1
8900000572618,1
8900000627554,1
8900000626700,1
8900000628407,1
8900000604364,1
8900000594443,1
8900000612611,1
8900000467952,1
8900000616718,1
8900000604609,1
8900000570119,2
8900000610396,1
8900000628384,1
8900000405626,1
8900000610457,0
8900000572915,1
8900000405909,1
8900000503841,1
8900000434909,1
8900000503834,1
8900000252718,1
8900000472604,1
8900000575138,1
8900000513147,0
8900000585748,2
8900000405473,1
8900000623167,1
8900000623174,1
8900000596331,1
8900000491377,1
8900000459094,1
8900000600397,1
8900000393640,2
8900000484164,1
8900000598212,1
8900000480524,1
8900000593514,1
8900000605569,1
8900000395132,1
8900000627738,3
8900000610419,1
8900000572373,6
8900000467969,1
8900000416837,1
8900000608119,1
8900000404551,1
8900000583843,1
8900000487868,1
8900000608485,1
8900000626021,1
8900000615599,1
8900000615759,1
8900000426379,1
8900000485826,1
8900000512331,1
8900000426362,1
8900000502486,1
8900000477531,1
8900000612956,2
8900000416868,1
8900000599691,1
8900000582365,1
8900000618620,1
8900000445356,0
8900000596300,1
8900000379958,1
8900000587018,1
8900000489725,2
8900000615551,1
8900000627530,1
8900000454013,1
8900000594412,2
8900000627387,2
8900000474561,1
8900000517107,1
8900000628353,1
8900000615353,1
8900000627615,1
8900000594429,2
8900000620982,2
8900000606078,1
8900000615605,2
8900000503889,1
8900000620999,2
8900000578672,1
8900000451340,1
8900000509140,1
8900000406036,1
8900000578023,1
8900000497539,1
8900000488896,2
8900000621002,2
8900000630660,1
8900000204717,1
8900000602445,1
8900000624324,1
8900000574049,2
8900000628391,1
8900000596447,1
8900000625222,1
8900000406531,17
8900000380626,1
8900000220625,1
8900000583133,1
8900000582341,1
8900000630646,1
8900000284061,1
8900000582334,1
8900000385119,1
8900000509829,1
8900000572625,1
8900000626151,1
8900000626113,1
8900000612864,1
8900000614059,2
8900000599684,1
8900000349692,3
8900000583119,1
8900000628773,1
8900000630776,2
8900000434381,1
8900000619023,1
8900000586721,1
8900000586448,1
8900000586714,1
8900000349654,1
8900000611775,1
8900000593033,1
8900000616121,1
8900000613960,2
8900000502011,0
8900000586233,1
8900000600120,1
8900000578047,1
8900000610945,1
8900000583379,1
8900000590087,1
8900000609901,1
8900000394166,1
8900000405831,2
8900000513185,1
8900000450893,1
8900000513635,2
8900000602704,1
8900000398058,1
8900000625154,1
8900000615988,1
8900000425389,1
8900000484348,1
8900000582389,1
8900000626038,1
8900000482979,1
8900000616176,1
8900000627639,1
8900000625055,3
8900000625468,1
8900000626618,1
8900000615889,1
8900000590957,1
8900000583102,1
8900000630813,2
8900000607099,1
8900000630677,1
8900000446629,1
8900000502424,9
8900000628414,1
8900000623211,1
8900000602469,1
8900000484478,1
8900000393633,2
8900000502448,14
8900000514274,1
8900000630851,1
8900000631452,1
8900000630936,1
8900000628803,1
8900000474370,1
8900000596089,1
8900000484904,1
8900000394128,1
8900000417308,1
8900000629213,2
8900000447640,1
8900000599745,1
8900000593873,1
8900000630653,1
8900000602988,2
8900000395125,1
