jagrutcreation,
8900000338405,3
8900000384716,1
8900000388332,1
8900000392650,1
8900000393626,1
8900000393640,1
8900000393688,2
8900000393701,1
8900000393718,2
8900000394050,-1
8900000394166,1
8900000395156,1
8900000395682,1
8900000395699,1
8900000396313,1
8900000397761,1
8900000399055,0
8900000403981,1
8900000403998,1
8900000405534,-1
8900000405855,1
8900000406531,2
8900000410187,2
8900000410200,1
8900000434893,1
8900000438297,1
8900000442966,1
8900000442997,1
8900000451333,0
8900000451340,1
8900000476268,1
8900000476275,1
8900000476282,1
8900000479658,1
8900000484065,1
8900000484560,1
8900000487318,1
8900000489565,1
8900000491803,-1
8900000497751,1
8900000501304,1
8900000501823,0
8900000502431,1
8900000504220,1
8900000504275,1
8900000504589,1
8900000504725,1
8900000505258,1
8900000509720,1
8900000511174,1
8900000511181,1
8900000513185,1
8900000515417,1
8900000529766,1
8900000569922,-1
8900000572793,1
8900000573097,1
8900000573127,1
8900000574094,1
8900000579976,1
8900000582822,1
8900000582877,1
8900000584734,1
8900000584826,1
8900000584840,1
8900000584987,1
8900000585786,1
8900000586936,1
8900000587148,1
8900000589777,1
8900000589920,1
8900000592852,1
8900000593453,1
8900000600380,1
8900000602889,1
8900000606238,1
8900000606948,1
8900000609161,1
8900000609543,1
8900000610914,1
8900000611157,1
8900000611515,1
8900000612079,1
8900000615766,1
8900000616183,1
8900000618323,1
8900000619214,1
8900000620555,1
8900000620999,1
8900000621743,1
8900000622238,1
8900000623891,1
8900000624331,1
8900000625185,1
8900000626182,1
8900000626397,1
8900000626595,1
8900000626717,1
8900000627462,1
8900000629626,1
8900000629978,1
8900000630202,1
8900000630332,1
8900000630707,1
8900000630769,1
8900000633036,1
8900000633111,1
8900000634491,1
8900000634576,1
8900000634736,1
8900000634903,0
8900000634972,1
8900000635672,3
8900000635689,2
8900000635702,1
8900000636389,0
8900000636525,1
8900000636716,1
8900000636921,1
8900000637492,1
8900000637591,1
8900000638000,1
8900000638161,1
8900000639144,1
8900000639779,1
8900000639960,1
8900000640188,1
8900000641079,1
8900000641130,1
8900000641239,1
8900000641260,1
8900000642090,1
8900000642144,1
