lksangli,
8900000350407,1
8900000392513,1
8900000392292,1
8900000387168,1
8900000390830,1
8900000250752,1
8900000250790,1
8900000413690,1
8900000420568,1
8900000442362,1
8900000467396,1
8900000468119,1
8900000467518,1
8900000517664,1
8900000569984,1
8900000576180,1
8900000576944,1
8900000584635,1
8900000607112,1
8900000607860,1
8900000610181,1
8900000611706,1
8900000612130,1
8900000634521,1
8900000434763,1
8900000647613,1
8900000648689,1
8900000335459,1
8900000323531,1
8900000310593,1
8900000375714,1
8900000284757,1
8900000284061,1
8900000284108,1
8900000283347,1
8900000283385,1
8900000398072,1
8900000394470,1
8900000389452,1
8900000381791,1
8900000389339,1
8900000389254,1
8900000389056,1
8900000384037,1
8900000388318,1
8900000398157,1
8900000402083,1
8900000408269,1
8900000409822,1
8900000409624,1
8900000264278,1
8900000414512,1
8900000414550,1
8900000414178,1
8900000415748,1
8900000420520,1
8900000422166,1
8900000421893,1
8900000425952,1
8900000421978,1
8900000426591,1
8900000433421,1
8900000433469,1
8900000431953,1
8900000438129,1
8900000442843,1
8900000449521,1
8900000451708,1
8900000429950,1
8900000452583,1
8900000463466,1
8900000465958,1
8900000468751,1
8900000470389,1
8900000471447,1
8900000474509,1
8900000477562,1
8900000477647,1
8900000477685,1
8900000493999,1
8900000511419,1
8900000515981,1
8900000529315,1
8900000559251,1
8900000570775,1
8900000570690,1
8900000572489,1
8900000574445,1
8900000575039,1
8900000575350,1
8900000578627,1
8900000578702,1
8900000585595,1
8900000586639,1
8900000589487,1
8900000594092,1
8900000595198,1
8900000602377,1
8900000605798,1
8900000607785,1
8900000610143,1
8900000612055,1
8900000613960,1
8900000614004,1
8900000615667,1
8900000641499,1
8900000641536,1
8900000648528,1
