manik,
8900000662111,1
8900000722976,1
8900000493876,1
8900000454013,2
8900000721696,2
8900000722136,2
8900000721733,2
8900000488513,2
8900000721856,2
8900000721931,2
8900000738533,2
8900000722051,2
8900000735754,2
8900000738571,2
8900000415038,1
8900000342600,1
8900000349937,1
8900000728282,1
8900000706570,1
8900000707508,1
8900000705504,1
8900000706709,1
8900000709403,1
8900000707430,1
8900000488674,1
8900000690992,1
8900000707898,1
8900000698295,1
8900000569847,1
8900000707843,1
8900000710157,1
8900000690688,1
8900000710133,1
8900000647835,1
8900000726158,1
8900000706235,1
8900000570034,1
8900000110704,1
8900000420070,1
8900000637720,1
8900000707621,1
8900000689835,1
8900000706945,1
8900000690381,1
8900000690244,1
8900000395798,1
8900000725427,1
8900000708079,1
8900000690862,1
8900000709908,1
8900000707874,1
8900000706402,1
8900000706075,1
8900000709885,1
8900000709175,1
8900000706907,1
8900000724369,1
8900000705832,1
8900000708949,1
8900000709427,1
8900000705962,1
8900000709489,1
8900000420087,1
8900000110681,1
8900000689750,1
8900000189342,1
8900000267989,1
8900000730445,1
8900000709267,1
8900000706822,1
8900000689859,1
8900000707973,1
8900000690237,1
8900000705443,1
8900000707768,1
8900000688609,1
8900000690589,1
8900000690046,1
8900000418138,1
8900000730148,1
8900000709441,1
8900000688623,1
8900000708062,1
8900000706860,1
8900000688425,1
8900000689910,1
8900000690077,1
8900000708796,1
8900000690947,1
8900000707997,1
8900000688289,1
8900000690336,1
8900000420599,1
8900000688739,1
8900000689699,1
8900000676347,1
8900000708024,1
8900000705818,1
8900000420094,1
8900000730490,1
8900000420582,1
8900000689934,1
8900000635139,1
8900000705528,1
8900000690633,1
8900000707980,1
8900000690114,1
8900000688814,1
8900000688333,1
8900000706976,1
8900000689729,1
8900000690350,1
8900000705498,1
8900000690626,1
8900000690541,1
8900000690343,1
8900000688470,1
8900000420612,1
8900000650170,1
8900000420629,1
8900000689903,1
8900000690190,1
8900000688340,1
8900000690558,1
8900000690312,1
8900000689958,1
8900000689743,1
8900000688708,1
8900000420636,1
8900000690596,1
8900000688524,1
8900000690510,1
8900000689781,1
8900000690039,1
8900000728138,1
8900000690657,1
8900000690305,1
8900000690671,1
8900000688777,1
8900000737031,1
8900000689712,1
8900000689828,1
8900000690503,1
8900000663224,1
8900000690466,1
8900000689873,1
8900000710140,1
8900000710232,1
8900000688234,1
8900000689798,1
8900000690275,1
8900000688784,1
8900000688180,1
8900000690701,1
8900000688500,1
8900000688586,1
8900000710195,1
8900000710225,1
8900000688692,1
8900000688203,1
8900000689866,1
8900000690268,1
8900000688296,1
8900000740444,1
8900000688227,1
8900000740482,1
8900000740451,1
8900000688494,1
8900000688531,1
8900000688463,1
8900000737048,1
8900000740413,1
8900000688258,1
8900000740475,1
8900000688210,1
8900000740468,1
8900000740437,1
8900000740420,1
8900000701339,1
8900000466580,1
8900000447473,1
8900000636747,1
8900000639618,1
8900000723089,1
8900000468188,1
8900000649167,1
8900000595617,1
8900000726851,1
8900000722761,1
8900000601318,1
8900000659906,1
8900000454044,1
8900000582938,1
8900000658848,1
8900000739547,1
8900000722082,1
8900000488544,1
8900000722129,1
8900000649150,1
8900000635498,1
8900000641932,1
8900000659470,1
8900000722808,1
8900000636587,1
8900000611546,1
8900000721726,1
8900000434916,1
8900000636624,1
8900000639656,1
8900000641222,1
8900000636860,1
8900000721924,1
8900000638383,1
8900000442201,1
8900000682744,1
8900000685561,1
8900000701957,1
8900000385188,1
8900000697960,1
8900000436835,1
8900000685530,1
8900000740178,1
8900000683765,1
8900000461776,1
8900000726233,1
8900000394500,1
8900000420520,1
8900000701414,1
8900000466023,1
8900000702152,1
8900000699216,1
8900000704187,1
8900000725632,1
8900000619412,1
8900000667178,1
8900000502547,1
8900000697557,1
8900000686407,1
8900000420384,1
8900000420551,1
8900000726202,1
8900000658398,1
8900000619382,1
8900000730568,1
