manik,
8900000863327,1
8900000943500,1
8900000863747,1
8900000477562,1
8900000864201,1
8900000511372,1
8900000865680,1
8900000527106,1
8900000384846,1
8900000480166,1
8900000575152,1
8900000572441,1
8900000602339,1
8900000572526,1
8900000631636,1
8900000868087,1
8900000649983,1
8900000869374,1
8900000664801,1
8900000870974,1
8900000684205,1
8900000873838,1
8900000691371,1
8900000874231,1
8900000696161,1
8900000875450,1
8900000741656,1
8900000877034,1
8900000742776,1
8900000877119,1
8900000752485,1
8900000878062,1
8900000761869,1
8900000878307,1
8900000763276,1
8900000878468,1
8900000776870,1
8900000878703,1
8900000785933,1
8900000878864,1
