manik,
8900000835522,1
8900000836123,1
8900000394128,1
8900000837441,1
8900000479399,1
8900000839476,1
8900000514311,1
8900000842889,1
8900000626595,1
8900000843923,1
8900000627677,1
8900000847006,1
8900000632190,1
8900000850426,1
8900000648382,1
8900000850587,1
8900000664740,1
8900000851546,1
8900000668830,1
8900000852505,1
8900000680627,1
8900000855605,1
8900000686117,1
8900000856572,1
8900000692163,1
8900000857944,1
8900000703418,1
8900000863914,1
8900000745166,1
8900000864591,1
8900000754205,1
8900000867295,1
8900000761883,1
8900000869725,1
8900000764068,1
8900000870998,1
8900000765843,1
8900000871148,1
8900000766765,1
8900000871704,1
