PRODUCT NAME,D.N.,MRP
JEANS,A21325,1450
JEANS,D21570,1350
JEANS,D21322,1450
JEANS,I19710,1350
JEANS,A21573,1650
JEANS,B21573,1650
JEANS,F19716,1450
JEANS,N16507,1650
JEANS,M16507,1650
JEANS,D22112,1650
JEANS,G19716,1450
JEANS,A21571,1650
JEANS,S21570,1350
JEANS,C21572,1550
JEANS,F7236,1450
JEANS,E7236,1450
JEANS,E21572,1550
JEANS,B21571,1650
JEANS,D21326,1750
JEANS,S21326,1750
JEANS,D21994,1650
JEANS,A22744,1450
JEANS,A22741,1450
JEANS,R16507,1450
JEANS,Q16507,1450
JEANS,AB6635,1550
JACKET,J20001,995
JACKET,J21794,995
JACKET,J18354,1495
JACKET,J22023,1495
JACKET,J17991,1495
TROUSER,L17344,1995
TROUSER,L17344,2150
FORMAL SHIRT,F22023,1595
SLIM SHIRT,S19129,1795
SLIM SHIRT,S21139,1795
SLIM SHIRT,S21136,1795
SLIM SHIRT,S16879,1795
SLIM SHIRT,S21149,1795
