PRODUCT NAME,D.N.,MRP
JACKET,J18353,1495
JACKET,J19118,1695
JEANS,G19716,1450
JEANS,A21571,1650
JEANS,C21572,1550
JEANS,F7236,1450
JEANS,E7236,1450
JEANS,E21572,1550
JEANS,B21571,1650
JEANS,D21994,1650
JEANS,A22744,1450
JEANS,R16507,1450
JEANS,Q16507,1450
JEANS,AB6635,1550
JEANS,AA6635,1550
JEANS,V16507,1450
JEANS,F19703,1450
JEANS,Q9146,1550
JEANS,S15182,1450
JEANS,D15182,1450
JEANS,R9146,1550
JEANS,S21994,1750
JEANS,G19703,1450
JEANS,A21575,1650
JEANS,B21575,1650
JEANS,B22744,1450
JEANS,G19709,1550
JEANS,F19709,1550
JEANS,F19709,1705
JEANS,A22939,1750
JEANS,B22939,1750
TROUSER,L19820,1995
TROUSER,L19820,2150
