PRODUCT NAME,D.N.,MRP
SLIM SHIRT,S23064,1895
SLIM SHIRT,S23059,1895
SLIM SHIRT,S23060,1895
SLIM SHIRT,S23057,1895
SLIM SHIRT,P21139,1895
SLIM SHIRT,S23071,1895
SLIM SHIRT,S25241,1495
SLIM SHIRT,S26127,1795
SLIM SHIRT,S26175,1695
TROUSER,L26069,1495
TROUSER,L26069,1650
LONG KURTA,K25882,1695
LONG KURTA,K25879,1695
LONG KURTA,K25877,1695
LONG KURTA,K25876,1695
LONG KURTA,K25884,1695
LONG KURTA,K25878,1695
LONG KURTA,K25880,1695
LONG KURTA,K25988,1195
LONG KURTA,K25389,1995
LONG KURTA,K25990,1195
LONG KURTA,K25989,1195
LONG KURTA,K25987,1195
LONG KURTA,K25985,1295
LONG KURTA,K25465,1995
LONG KURTA,K25461,1695
LONG KURTA,K19945,1995
LONG KURTA,K25456,1695
LONG KURTA,K26075,1795
LONG KURTA,K25986,1195
LONG KURTA,K26073,1795
LONG KURTA,K26076,1795
JACKET,J26078,1495
JACKET,J26079,1495
JACKET,J26077,1495
JACKET,J26091,1495
JEANS,B23023,1650
JEANS,S23023,1650
