PRODUCT NAME,D.N.,MRP
FORMAL SHIRT,F27736,1495
FORMAL SHIRT,F27737,1495
FORMAL SHIRT,F27743,1795
FORMAL SHIRT,F27742,1795
SLIM SHIRT,S26086,1195
SLIM SHIRT,S26087,1195
SLIM SHIRT,S26083,1195
SLIM SHIRT,S27741,1495
SLIM SHIRT,S27733,1495
SLIM SHIRT,S27740,1495
SLIM SHIRT,S26084,1195
SLIM SHIRT,S27735,1795
SLIM SHIRT,S27364,1795
SLIM SHIRT,S27367,1795
SLIM SHIRT,S27738,1495
SLIM SHIRT,S27739,1795
SLIM SHIRT,S27732,1795
SLIM SHIRT,S26082,1195
SLIM SHIRT,S27356,1795
SLIM SHIRT,S27353,1795
LONG KURTA,K27218,2495
JACKET,J27240,1895
JACKET,J27321,1895
JACKET,J27323,1895
JACKET,J27320,1895
JACKET,J27693,1295
JACKET,J27696,1295
JACKET,J27694,1295
JACKET,J27719,1395
JEANS,B27852,1595
JEANS,A27852,1745
JEANS,C27858,1645
JEANS,C27858,1800
JEANS,C27855,1745
JEANS,A27855,1745
