PRODUCT NAME,D.N.,MRP
FORMAL SHIRT,F28140,995
FORMAL SHIRT,F28137,995
FORMAL SHIRT,F26156,2495
FORMAL SHIRT,F26159,2495
FORMAL SHIRT,F27378,1795
FORMAL SHIRT,F26158,2495
SLIM SHIRT,S27943,1595
SLIM SHIRT,S27944,1595
SLIM SHIRT,S27942,1595
SLIM SHIRT,S28136,995
SLIM SHIRT,S28140,995
JACKET,J27233,1595
JACKET,J27745,895
JACKET,J27746,995
JACKET,J27744,895
JACKET,A27691,895
JACKET,J29084,895
JACKET,J29082,895
JACKET,J29083,895
JACKET,J28836,895
JEANS,A28323,1495
JEANS,A28323,1650
JEANS,B28323,1495
JEANS,B28323,1650
JEANS,B28283,1495
JEANS,B28283,1650
JEANS,A28283,1495
JEANS,A28283,1650
JEANS,B27936,1395
JEANS,A28350,1395
JEANS,B28350,1395
JEANS,B28324,1395
JEANS,C28343,1245
JEANS,A28324,1395
JEANS,A28340,1295
JEANS,B28282,1595
JEANS,A28282,1595
SHIRT PIECE,SP11165,1795
SHIRT PIECE,SP27390,2295
SHIRT PIECE,SP27364,1295
SHIRT PIECE,SP28898,1495
SHIRT PIECE,27378,1295
SHIRT PIECE,SP24256,1495
SHIRT PIECE,SP28710,2295
SHIRT PIECE,SP19370,1495
SHIRT PIECE,SP13561,1295
SHIRT PIECE,KP13561,1595
SHIRT PIECE,SP27374,1295
SHIRT PIECE,SP27379,1295
