PRODUCT NAME,D.N.,MRP
TROUSER,L32183,1495
TROUSER,L32183,1650
TROUSER,L21999,1495
TROUSER,L21999,1650
TROUSER,L21998,1495
TROUSER,L21998,1650
SLIM SHIRT,S31382,895
SLIM SHIRT,S31383,895
SLIM SHIRT,S31373,895
SLIM SHIRT,S31388,895
SLIM SHIRT,S31375,895
SLIM SHIRT,S31390,895
SLIM SHIRT,S31374,895
SLIM SHIRT,S32019,1695
SLIM SHIRT,S31585,1045
SLIM SHIRT,S31586,1045
SLIM SHIRT,S29689,1595
SLIM SHIRT,S32020,1695
SLIM SHIRT,S31578,1045
SLIM SHIRT,S31579,995
SLIM SHIRT,S31584,1045
SLIM SHIRT,S32049,1395
LONG KURTA,K30102,2195
LONG KURTA,K32337,1995
LONG KURTA,K30099,2195
LONG KURTA,K30114,2195
LONG KURTA,K32336,1995
LONG KURTA,K32336,1995
LONG KURTA,K31114,1695
LONG KURTA,K30100,2195
LONG KURTA,K32048,1695
LONG KURTA,K31115,1695
JACKET,J18209,995
JACKET,J30100,1695
JACKET,J30103,1695
JACKET,J30104,1695
JEANS,C31941,1495
JEANS,B32589,1545
JEANS,C31943,1495
