PRODUCT NAME,DN.,MRP
LONG KURTA,K29679,1795
LONG KURTA,K30114,2195
LONG KURTA,K29685,1995
LONG KURTA,K29686,1895
LONG KURTA,K30119,2195
FORMAL SHIRT,F25237,1195
FORMAL SHIRT,F29646,995
FORMAL SHIRT,F29674,1495
FORMAL SHIRT,F29649,995
FORMAL SHIRT,F29650,995
FORMAL SHIRT,F28710,2495
FORMAL SHIRT,F29650,995
SLIM SHIRT,S31585,1045
SLIM SHIRT,S31375,895
SLIM SHIRT,S23059,1495
SLIM SHIRT,S30085,1895
SLIM SHIRT,S30387,2495
SLIM SHIRT,SA30390,2495
JACKET,J31095,1495
JACKET,J30100,1695
JACKET,J31096,1495
JACKET,J32209,1495
JACKET,J30099,1695
JACKET,J29535,1295
JACKET,J32208,1395
JACKET,J18209,995
JACKET,J30104,1695
