Barcode	Qty
8900000002641	1
8900000002788	1
8900000003457	1
8900000004225	1
8900000004249	1
8900000004331	1
8900000005635	3
8900000005819	1
8900000005826	3
8900000005888	4
8900000005987	1
8900000006045	1
8900000006076	1
8900000006250	5
8900000006281	1
8900000006311	5
8900000006397	1
8900000008414	1
8900000008964	1
8900000009053	3
8900000009060	2
8900000009084	2
8900000010318	3
8900000016303	3
8900000016815	2
8900000016846	2
8900000016853	3
8900000016860	1
8900000016884	3
8900000016921	6
8900000016938	1
8900000017003	9
8900000017010	4
8900000017034	4
8900000017065	12
8900000017072	1
8900000017096	5
8900000017126	6
8900000017157	5
8900000017188	4
8900000018482	1
8900000019090	1
8900000019106	1
8900000020317	1
8900000020355	3
8900000020584	2
8900000021314	4
8900000021536	8
8900000021543	1
8900000022717	1
8900000025206	6
8900000025237	6
8900000025244	1
8900000025251	2
8900000026265	1
8900000026937	1
8900000027132	1
8900000030668	3
8900000033768	1
8900000036486	6
8900000036493	2
8900000036691	3
8900000036707	5
8900000036714	7
8900000036721	1
8900000036745	7
8900000036752	16
8900000036776	15
8900000037018	1
8900000037025	1
8900000037032	4
8900000037063	1
8900000037070	4
8900000037087	12
8900000037094	7
8900000037100	5
8900000037780	2
8900000038619	1
8900000041541	1
8900000041664	1
8900000043606	1
8900000044177	1
8900000044696	1
8900000044917	1
8900000045471	1
8900000046171	1
8900000046270	1
8900000046379	2
8900000049905	1
8900000050710	1
8900000050819	4
8900000050826	1
8900000050871	3
8900000050895	5
8900000050970	2
8900000051267	1
8900000052325	3
8900000052639	1
8900000055555	2
8900000055616	2
8900000055951	2
8900000056019	1
8900000056026	2
8900000056040	1
8900000056057	1
8900000056316	3
8900000060153	4
8900000060207	4
8900000060306	1
8900000060351	3
8900000060481	2
8900000062577	1
8900000063130	1
8900000063147	2
8900000063154	1
8900000063185	1
8900000063635	1
8900000065400	1
8900000065431	1
8900000065455	2
8900000065554	1
8900000065608	1
8900000065974	3
8900000066070	2
8900000066094	2
8900000067220	1
8900000067237	5
8900000067251	4
8900000067503	1
8900000067794	1
8900000068029	4
8900000068470	1
8900000068487	1
8900000068548	1
8900000068555	1
8900000068579	1
8900000068678	1
8900000070237	1
8900000070244	2
8900000070305	1
8900000070534	2
8900000070541	2
8900000070565	1
8900000070848	2
8900000070893	4
8900000073863	1
8900000076246	1
8900000076277	1
8900000077441	1
8900000078882	1
8900000078998	1
8900000080380	2
8900000080427	1
8900000082421	1
8900000082438	1
8900000082681	1
8900000082698	3
8900000082766	3
8900000082957	1
8900000082964	1
8900000083039	1
8900000083688	1
8900000083701	1
8900000085453	1
8900000085644	1
8900000085811	3
8900000085927	1
8900000086610	1
8900000086641	9
8900000086658	1
8900000086740	1
8900000086818	1
8900000086924	1
8900000086962	1
8900000087341	5
8900000087358	5
8900000087396	1
8900000087631	1
8900000089444	1
8900000089451	1
8900000089772	1
8900000089789	2
8900000089802	2
8900000089819	1
8900000089826	2
8900000090600	2
8900000090747	2
8900000090921	3
8900000091362	2
8900000091423	1
8900000091461	3
8900000091881	1
8900000093205	1
8900000093519	4
8900000093656	1
8900000093700	1
8900000093731	1
8900000093762	2
8900000093809	3
8900000093823	1
8900000093885	1
8900000093960	3
8900000094141	4
8900000094189	1
8900000094202	1
8900000094240	1
8900000094264	7
8900000094301	1
8900000094400	1
8900000094462	12
8900000094530	2
8900000094547	2
8900000094585	2
8900000094745	1
8900000094882	2
8900000094905	3
8900000095414	1
8900000098255	1
8900000098576	17
8900000098583	17
8900000098606	16
8900000098910	1
8900000099818	17
8900000099825	14
8900000099832	19
8900000099849	8
8900000100132	1
8900000100187	1
8900000100699	1
8900000100705	1
8900000100729	1
8900000100811	1
8900000100828	5
8900000100835	13
8900000100842	27
8900000100866	2
8900000101429	20
8900000101436	47
8900000101443	37
8900000101450	12
8900000101474	17
8900000101481	19
8900000101498	19
8900000101504	8
8900000102150	2
8900000102372	1
8900000102518	2
8900000102679	1
8900000103744	1
8900000103751	2
8900000103768	1
8900000103782	1
8900000104789	2
8900000104796	6
8900000104802	10
8900000104819	6
8900000104826	1
8900000104833	2
8900000105229	1
8900000105885	8
8900000105892	9
8900000105908	2
8900000105915	13
8900000105922	19
8900000105939	12
8900000105946	7
8900000106332	5
8900000106356	2
8900000106370	6
8900000106387	2
8900000106486	3
8900000106769	1
8900000108565	1
8900000108619	1
8900000109890	1
8900000110728	33
8900000110735	50
8900000110742	36
8900000110759	26
8900000110773	33
8900000110780	40
8900000110797	21
8900000110803	26
8900000114665	2
8900000115105	1
8900000115815	1
8900000115822	4
8900000115853	1
8900000116393	20
8900000116409	24
8900000116416	41
8900000116423	36
8900000116447	96
8900000116454	98
8900000116461	53
8900000116478	15
8900000117192	1
8900000117758	1
8900000118342	1
8900000118595	3
8900000118601	6
8900000118618	11
8900000118625	21
8900000118632	14
8900000118649	12
8900000118656	14
8900000118762	1
8900000118823	42
8900000118830	28
8900000118847	33
8900000118854	93
8900000118861	53
8900000118878	9
8900000118885	1
8900000118953	2
8900000119141	20
8900000119158	25
8900000119165	26
8900000119172	5
8900000119196	14
8900000119202	14
8900000119219	23
8900000119226	5
8900000124534	1
8900000125654	24
8900000125661	23
8900000126477	1
8900000126866	1
8900000126941	1
8900000126958	1
8900000128457	1
8900000129270	1
8900000129454	2
8900000129911	6
8900000129928	7
8900000129935	7
8900000129942	4
8900000129966	6
8900000129973	1
8900000129980	4
8900000130016	1
8900000130146	1
8900000130467	31
8900000130474	43
8900000130481	20
8900000130542	27
8900000130559	46
8900000130566	34
8900000130573	10
8900000130597	19
8900000130603	20
8900000130610	20
8900000130627	13
8900000131754	1
8900000132522	1
8900000132577	1
8900000136643	1
8900000138036	1
8900000138043	1
8900000140688	1
8900000140886	2
8900000140923	1
8900000140930	2
8900000140961	3
8900000140978	2
8900000141043	5
8900000141050	8
8900000141920	14
8900000141937	28
8900000141944	18
8900000141951	5
8900000141975	8
8900000141982	10
8900000141999	11
8900000142002	6
8900000142644	11
8900000142880	2
8900000142897	1
8900000143016	3
8900000143023	1
8900000143047	6
8900000143054	15
8900000143061	1
8900000143078	4
8900000143085	6
8900000143092	7
8900000143139	8
8900000144228	1
8900000144235	1
8900000144624	2
8900000144631	4
8900000144648	1
8900000144662	7
8900000144679	10
8900000145478	1
8900000146321	1
8900000146918	1
8900000147618	2
8900000147861	1
8900000150601	5
8900000150618	8
8900000150625	4
8900000150632	3
8900000151042	1
8900000151745	1
8900000151769	1
8900000151813	2
8900000151943	1
8900000152612	9
8900000152629	3
8900000152667	8
8900000152674	9
8900000153138	2
8900000153145	2
8900000153213	6
8900000153220	8
8900000153237	5
8900000153244	4
8900000153251	10
8900000153268	1
8900000153305	5
8900000153312	1
8900000153350	7
8900000153367	4
8900000153381	1
8900000153404	11
8900000153411	2
8900000153428	4
8900000153503	1
8900000153510	1
8900000154593	1
8900000154647	1
8900000154814	3
8900000154838	1
8900000155460	1
8900000155712	1
8900000156658	2
8900000156931	2
8900000156948	11
8900000157105	3
8900000157112	1
8900000157433	12
8900000157440	28
8900000157457	12
8900000157464	10
8900000157488	12
8900000157495	14
8900000157501	5
8900000157518	16
8900000157525	26
8900000157532	18
8900000157549	15
8900000157556	13
8900000157563	21
8900000157570	16
8900000157778	1
8900000157877	4
8900000157884	1
8900000157990	1
8900000158126	1
8900000158492	7
8900000158508	4
8900000158515	9
8900000158546	10
8900000158553	9
8900000158560	6
8900000158645	6
8900000158751	4
8900000158980	1
8900000159062	2
8900000159093	1
8900000159178	3
8900000159185	1
8900000159215	2
8900000159420	1
8900000159499	1
8900000159598	1
8900000159666	1
8900000159673	5
8900000159703	1
8900000159710	3
8900000160525	1
8900000160679	2
8900000160686	10
8900000160693	3
8900000160877	4
8900000160884	5
8900000160891	1
8900000160921	1
8900000160990	2
8900000161003	10
8900000161010	1
8900000161775	1
8900000161843	1
8900000161959	12
8900000161966	9
8900000161973	6
8900000161980	1
8900000162192	26
8900000162208	28
8900000162215	13
8900000162222	5
8900000162857	17
8900000162864	20
8900000162871	25
8900000162888	6
8900000162932	5
8900000163342	19
8900000163359	11
8900000163427	9
8900000163649	28
8900000163656	17
8900000163663	10
8900000163670	5
8900000164523	1
8900000164684	12
8900000164691	12
8900000164707	2
8900000164721	18
8900000164738	17
8900000164745	15
8900000164752	8
8900000164882	8
8900000164899	9
8900000164905	3
8900000165018	26
8900000165025	11
8900000165056	9
8900000165063	6
8900000165254	7
8900000165278	6
8900000165285	4
8900000165292	6
8900000165308	5
8900000165315	5
8900000165797	1
8900000166022	13
8900000166039	3
8900000166046	3
8900000166107	6
8900000166114	1
8900000166169	1
8900000166428	5
8900000166442	17
8900000166459	43
8900000166466	35
8900000166473	30
8900000166480	18
8900000166497	11
8900000166503	5
8900000166534	3
8900000166558	5
8900000166565	8
8900000166572	9
8900000166589	1
8900000166749	1
8900000166848	1
8900000166855	1
8900000166992	1
8900000167470	20
8900000167487	18
8900000167494	12
8900000167500	6
8900000167517	9
8900000167524	11
8900000167531	14
8900000167548	5
8900000167555	4
8900000167562	6
8900000167579	10
8900000167586	11
8900000167593	11
8900000167609	19
8900000167616	9
8900000167623	4
8900000167630	4
8900000167975	1
8900000167999	4
8900000168002	4
8900000168026	3
8900000168637	1
8900000168644	1
8900000169009	8
8900000169016	12
8900000169030	2
8900000169047	12
8900000169054	12
8900000169061	9
8900000169085	13
8900000169092	10
8900000169108	9
8900000169115	12
8900000169122	2
8900000169146	1
8900000169184	3
8900000169191	8
8900000169917	2
8900000170234	4
8900000170241	4
8900000170272	1
8900000170289	1
8900000170470	1
8900000170487	2
8900000170517	14
8900000170524	12
8900000170531	3
8900000170555	16
8900000170562	11
8900000170579	10
8900000170593	9
8900000170609	6
8900000170616	14
8900000170630	7
8900000170647	5
8900000170654	6
8900000170661	1
8900000170715	5
8900000170722	18
8900000170739	14
8900000170746	7
8900000170760	3
8900000170784	8
8900000171286	1
8900000171293	1
8900000171309	3
8900000171460	2
8900000171910	5
8900000172542	13
8900000172559	13
8900000172566	6
8900000172597	5
8900000172603	2
8900000172689	1
8900000172740	13
8900000172757	23
8900000172764	9
8900000172771	2
8900000172962	1
8900000173020	1
8900000173082	1
8900000174065	1
8900000174249	2
8900000174287	2
8900000174300	4
8900000174423	1
8900000174430	7
8900000174553	2
8900000174560	4
8900000174577	1
8900000175291	5
8900000175338	3
8900000175345	1
8900000175413	1
8900000175499	1
8900000176625	4
8900000176632	2
8900000176649	2
8900000176854	2
8900000176861	2
8900000176878	3
8900000177196	1
8900000177202	4
8900000177271	1
8900000177554	1
8900000177752	2
8900000177776	2
8900000178636	3
8900000178643	1
8900000178759	2
8900000179060	17
8900000179077	21
8900000179084	16
8900000179091	3
8900000179107	15
8900000179114	19
8900000179121	9
8900000179305	14
8900000179312	18
8900000179329	15
8900000179336	54
8900000179343	27
8900000179350	30
8900000179367	18
8900000179374	12
8900000179381	5
8900000179480	1
8900000179503	1
8900000180127	1
8900000180356	1
8900000180363	3
